,Sim,trued_H_01,trued_D_11,trued_I_00,trued_B_10,trued_IB_sp,ITT_H,ITT_D,ITT_I,ITT_B,ITT_IB,ITT_se_H,ITT_se_D,ITT_se_I,ITT_se_B,ITT_se_IB,ITT_lb_H,ITT_lb_D,ITT_lb_I,ITT_lb_B,ITT_lb_IB,ITT_ub_H,ITT_ub_D,ITT_ub_I,ITT_ub_B,ITT_ub_IB,ITT_pvalue_H,ITT_pvalue_D,ITT_pvalue_I,ITT_pvalue_B,ITT_pvalue_IB,delta_H,delta_D,delta_I,delta_B,delta_IB,delta_se_H,delta_se_D,delta_se_I,delta_se_B,delta_se_IB,delta_lb_H,delta_lb_D,delta_lb_I,delta_lb_B,delta_lb_IB,delta_ub_H,delta_ub_D,delta_ub_I,delta_ub_B,delta_ub_IB,delta_pvalue_H,delta_pvalue_D,delta_pvalue_I,delta_pvalue_B,delta_pvalue_IB,PCP_H,PCP_D,PCP_I,PCP_B,nH,nD,nI,nB,nIB
1,1,0.785205479,1.541304348,0.641606218,1.218409091,0.822241993,1.160003644,1.859738953,0.50017862,1.178837499,0.713714164,0.362124213,0.552902231,0.232373892,0.366589581,0.197128495,0.450253229,0.776070494,0.04473416,0.460335123,0.327349413,1.869754059,2.943407411,0.955623079,1.897339875,1.100078914,0.001358478,0.000769345,0.031360089,0.001301325,0.000293974,0.833645575,1.862174891,0.488583152,1.288544614,0.742856617,0.265490253,0.354263123,0.188491061,0.26793401,0.164649884,0.31329424,1.167831929,0.119147461,0.763403605,0.420148774,1.35399691,2.556517853,0.858018842,1.813685624,1.06556446,0.001689344,1.46843534887253e-07,0.00953987,1.51545788273921e-06,6.42995439581462e-06,0.001456542,0.312383286,0.689658853,0.001842484,73,46,193,88,281
2,2,-0.317317073,0.932702703,0.49160804,2.15304878,0.976441281,0.343616566,1.437393745,1.195843358,2.228608365,1.518593359,0.359333744,0.652220175,0.215712122,0.372885796,0.191009281,-0.360664631,0.159065691,0.773055367,1.497765635,1.144222048,1.047897763,2.715721798,1.618631349,2.959451094,1.89296467,0.338940781,0.027535077,2.96145539202541e-08,2.27771046468206e-09,1.88737914186277e-15,0.080126924,0.958288662,1.0387815,2.692366273,1.538976183,0.263922017,0.39202683,0.177353283,0.271166424,0.160321896,-0.437150724,0.189930194,0.691175454,2.160889849,1.224751041,0.597404572,1.726647131,1.386387547,3.223842698,1.853201324,0.761432075,0.014507455,4.70930205942466e-09,0,0,0.434502356,0.002998372,0.381136611,0.429067597,82,37,199,82,281
3,3,0.182790698,0.109189189,0.170248756,2.317105263,0.759277978,0.182648456,1.064818711,0.707382554,1.54741773,0.951202839,0.346605135,0.614428698,0.227926336,0.393395671,0.199280804,-0.496685125,-0.139439408,0.260655145,0.776376383,0.560619641,0.861982038,2.269076831,1.154109963,2.318459076,1.341786036,0.598218532,0.083091683,0.001912089,8.37215069956487e-05,1.81340968141708e-06,0.166701653,0.051741709,0.330578724,2.35619368,0.900523616,0.257083737,0.378300614,0.185504204,0.281547026,0.166113477,-0.337173212,-0.689713869,-0.033002835,1.804371648,0.574947184,0.670576518,0.793197287,0.694160282,2.908015712,1.226100049,0.516704745,0.891209392,0.074740237,0,5.92217508366133e-08,0.421253553,0.045127172,0.382217205,0.354116049,86,37,201,76,277
4,4,0.551395349,0.230540541,0.977172775,1.153488372,1.031913357,0.574693015,0.596347249,0.790833121,0.877884137,0.814739727,0.345661682,0.637459462,0.216513815,0.400932284,0.191611565,-0.102791433,-0.653050339,0.366473842,0.092071301,0.439187961,1.252177463,1.845744837,1.215192401,1.663696973,1.190291492,0.096394906,0.349527514,0.000259623,0.028552751,2.11833543075635e-05,0.523518169,0.188924283,0.761444533,1.206377224,0.885574306,0.256488192,0.386527709,0.177928897,0.285684259,0.160780488,0.02081055,-0.568656106,0.412710304,0.646446366,0.570450339,1.026225788,0.946504672,1.110178762,1.766308083,1.200698272,0.041240842,0.625002461,1.87323951043039e-05,2.41324395382492e-05,3.62992682578778e-08,0.295281152,0.083184628,0.511242383,0.273997093,86,37,191,86,277
5,5,-0.01475,1.661081081,-0.126969697,0.283294118,-0.003745583,0.446653183,1.269901524,-0.310132452,0.460366892,-0.096246806,0.364382455,0.64229288,0.228575003,0.421995953,0.203382158,-0.267523305,0.011030612,-0.758131225,-0.366729978,-0.494868511,1.160829671,2.528772435,0.137866321,1.287463762,0.302374898,0.220281003,0.048026057,0.174842142,0.275304888,0.636048157,-0.09258594,1.594572189,-0.3568911,0.30084256,-0.190265239,0.266545828,0.388362759,0.185982165,0.296141691,0.168979925,-0.615006163,0.833395168,-0.721409446,-0.279584489,-0.521459806,0.429834284,2.355749211,0.007627246,0.881269609,0.140929327,0.72832488,4.02772701396659e-05,0.054990238,0.309689527,0.26018094,0.089728133,0.208688442,0.654515003,0.108353619,80,37,198,85,283
6,6,-0.151666667,1.068421053,0.543830846,1.90987013,0.922194245,0.813500901,1.094911244,0.853058439,1.182740265,0.947138916,0.352100055,0.548222318,0.235462419,0.374619694,0.199426574,0.123397474,0.020415246,0.391560577,0.448499157,0.556270015,1.503604328,2.169407241,1.3145563,1.916981373,1.338007818,0.020864616,0.045803138,0.000291311,0.001593052,2.04110360724208e-06,-0.089349313,1.190309112,0.874704876,1.951917032,1.158181759,0.260003841,0.351925579,0.190522467,0.271951681,0.166242872,-0.598947477,0.500547651,0.501287703,1.418901531,0.832351717,0.42024885,1.880070573,1.248122049,2.484932533,1.484011801,0.731112429,0.000718881,4.40947282731585e-06,7.10320691155175e-13,3.24218429881284e-12,0.129821598,0.233497354,0.610994987,0.097104589,84,38,201,77,278
7,7,-0.368571429,0.560833333,0.982169312,1.365934066,1.106892857,-0.496544426,0.0266176,0.251961113,0.747945088,0.424349404,0.385811418,0.534669229,0.243385855,0.319691963,0.194594783,-1.252720909,-1.021314832,-0.225066396,0.121360353,0.042950637,0.259632057,1.074550031,0.728988623,1.374529822,0.805748171,0.198089652,0.960295073,0.300560025,0.01930541,0.029206921,-0.846827552,0.574922599,0.466783586,0.855319632,0.57601614,0.27785655,0.346230529,0.195645588,0.241980643,0.162863627,-1.391416383,-0.103676767,0.08332528,0.381046286,0.256809297,-0.302238722,1.253521966,0.850241892,1.329592978,0.895222983,0.002305886,0.096809956,0.017039093,0.000408298,0.000405006,0.3905361,0.004191997,0.353010422,0.4510393,84,36,189,91,280
8,8,-0.422105263,1.206521739,0.778793103,1.505769231,1.050755396,0.642581668,1.067806239,0.901633308,1.306018517,1.046962285,0.407643158,0.569391316,0.234330801,0.331529333,0.192063906,-0.15638424,-0.048180233,0.442353377,0.656232965,0.670523947,1.441547577,2.183792711,1.360913239,1.955804068,1.423400624,0.114948907,0.060745015,0.000119235,8.16939970157415e-05,5.0055212530431e-08,-0.390059583,1.305391868,0.956632339,1.637183507,1.210397181,0.289059514,0.361130555,0.189765105,0.24867929,0.161092372,-0.95660582,0.597588986,0.584699568,1.149781055,0.894661934,0.176486654,2.01319475,1.32856511,2.124585959,1.526132429,0.17720555,0.000300653,4.6276830667491e-07,4.59459137402973e-11,5.75095526755831e-14,0.162270958,0.187903097,0.50627682,0.220662707,76,46,174,104,278
9,9,-0.393088235,1.495625,0.732288557,1.471566265,0.94834507,0.936826823,1.389200602,0.625137958,1.032520787,0.763313371,0.44623331,0.672962163,0.214184288,0.344029732,0.183801605,0.062225607,0.070218999,0.205344467,0.358234902,0.403068846,1.811428039,2.708182204,1.044931449,1.706806672,1.123557897,0.035780744,0.038988604,0.003515034,0.002688697,3.28259433679534e-05,-0.381692422,1.379671442,0.574286765,1.508892479,0.877486612,0.307837964,0.399890036,0.176349048,0.255669702,0.155247152,-0.985043745,0.595901373,0.228648981,1.00778907,0.573207786,0.2216589,2.16344151,0.919924548,2.009995888,1.181765438,0.21500742,0.000560323,0.001127812,3.59718665965403e-09,1.5841506439962e-08,0.010893549,0.255914556,0.657141679,0.106632845,68,48,201,83,284
10,10,-0.155172414,1.099285714,0.728152174,1.798275862,1.071697417,0.14493805,0.867423244,0.845153746,1.647207626,1.135298304,0.340502495,0.526229289,0.248093897,0.367842326,0.208261858,-0.522434578,-0.163967209,0.358898642,0.926249914,0.727112563,0.812310677,1.898813698,1.33140885,2.368165338,1.543484045,0.670356132,0.099275727,0.000657803,7.53363089678327e-06,5.00023432659091e-08,-0.078312849,1.075863939,0.812352721,1.859222673,1.154675215,0.253636758,0.343146793,0.19858175,0.268445297,0.172300208,-0.575431759,0.403308584,0.423139644,1.333079559,0.816973012,0.418806062,1.748419295,1.201565798,2.385365786,1.492377417,0.757504208,0.001716856,4.29939081851849e-05,4.33242330899475e-12,2.06246131284615e-11,0.453111916,0.006956883,0.279267992,0.457879631,87,42,184,87,271
