"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-0.412307692307692,0.696428571428571,0.841940298507463,2.20181818181818,1.11065868263473,0.96638253508146,1.02796177045097,0.82366758752768,1.02516729386515,0.861835480552744,0.429869719178789,1.038164195634,0.193330224306956,0.447350801275849,0.178011015969584,0.123853367446688,-1.00680266303068,0.444747310762996,0.148375834909348,0.512940300400976,1.80891170271623,3.06272620393261,1.20258786429236,1.90195875282094,1.21073066070451,0.0245709383390857,0.322089748731039,2.04044840194095e-05,0.0219263861052705,1.2888036057257e-06,-0.42325221316953,1.07572412103622,0.819037640550753,2.20744600076259,1.13533185278836,0.299858731553812,0.498210611191321,0.161985854701225,0.30855052794745,0.151104162902962,-1.01096452746487,0.0992492663855434,0.501551199331415,1.60269807857477,0.839173135584483,0.164460101125805,2.0521989756869,1.13652408177009,2.81219392295041,1.43149056999224,0.158095650051943,0.0308365578479108,4.276269173209e-07,8.41327008060944e-13,5.75095526755831e-14,0.00200875631297639,0.171977914473327,0.815693871725175,0.0255247441631782,52,14,268,66,334
"2",2,-0.620350877192982,1.03705882352941,0.742185185185185,1.78946428571429,0.922085889570552,0.679782763049613,0.923355533831852,1.34588343999895,1.51264164847118,1.37853698066215,0.39600482739242,0.993620753430598,0.190566273057835,0.4642687267564,0.177799791019925,-0.0963724363435302,-1.02410535718367,0.972380408137568,0.602691664880368,1.03005579380435,1.45593796244276,2.87081642484738,1.71938647186033,2.42259163206199,1.72701816751995,0.086051877878847,0.352742099222153,1.63469238145808e-12,0.00112154311044654,8.88178419700125e-15,-0.548220833011339,1.13346554146584,1.45173736304319,1.86393879457769,1.53783006709786,0.282964108746277,0.487858606591631,0.16004027231211,0.316259378258536,0.150946740392227,-1.10282029507152,0.177280242998353,1.13806419323547,1.24408180341793,1.24197989234538,0.00637862904883868,2.08965083993334,1.7654105328509,2.48379578573745,1.83368024185034,0.0526938039021856,0.0201604405734246,0,3.77636033555007e-09,0,0.247247512368182,0.088040210322233,0.699142618383385,0.259047563136299,57,17,270,56,326
"3",3,-0.203484848484849,1.80181818181818,0.497228464419476,1.62375,0.692538699690402,0.665142984858799,1.19440981395761,0.699479937673178,1.26873513331581,0.794222366480649,0.43575262082725,1.07543566341787,0.196072549996161,0.471214534879165,0.181478718595337,-0.18891645813155,-0.91340535403135,0.315184801323774,0.345171615960852,0.438530614073309,1.51920242784915,3.30222498194658,1.08377507402258,2.19229865067076,1.14991411888799,0.126904460670086,0.266728163413042,0.000360465687172962,0.00709230498980529,1.20658853701716e-05,-0.06926877665168,1.84769656981108,0.707686848466964,1.59773486529022,0.856028184604174,0.302963151817183,0.507429931563015,0.163904662177525,0.319238987607063,0.153589009012839,-0.663065642856099,0.853152179269944,0.38643961370081,0.972037947119349,0.554999258517812,0.524528089552739,2.84224096035221,1.02893408323312,2.22343178346109,1.15705711069054,0.819150575559316,0.000271281512641108,1.57682310266694e-05,5.59131675181845e-07,2.49673119956384e-08,0.267553974261806,0.083815369356632,0.706571801565381,0.214618112437555,66,11,267,56,323
"4",4,0.400980392156863,-1.02111111111111,0.994468864468865,0.881194029850746,0.972147058823529,0.118607192222337,-0.447383055823523,1.00832393961994,0.306916810034599,0.883622977941308,0.448438519270995,1.14777947705006,0.188516488204723,0.490628444300783,0.178282391255466,-0.760316154829284,-2.69698949303587,0.638838412246717,-0.654697270585852,0.534195912002916,0.997530539273959,1.80222338138882,1.37780946699317,1.26853089065505,1.2330500438797,0.791402904987359,0.696698221718907,8.8573190226704e-08,0.531604544404554,7.18441840241724e-07,0.464802881909569,-0.816526544138342,1.00823063593725,0.927455835325149,0.993158953024202,0.308595008634601,0.519025936070483,0.158597330224485,0.328437443262852,0.151297354455119,-0.140032220823075,-1.83379868587868,0.697385580653051,0.283730275355541,0.696621587335979,1.06963798464221,0.200745597601993,1.31907569122144,1.57118139529476,1.28969631871243,0.132018267871012,0.115674771359533,2.05500727545882e-10,0.00474515953658672,5.22830667648577e-11,0.0367900821255893,0.16533509670451,0.804502081916206,0.104398950443221,51,9,273,67,340
"5",5,0.593703703703704,0.732,0.049080459770115,0.0481428571428572,0.0488821752265861,0.354269583764093,0.44803555428753,0.0448866660726194,0.0918092888390787,0.0529565598735982,0.448618015785992,1.04872635241675,0.202570482591434,0.460057455022283,0.185931148627289,-0.525005569992274,-1.60743032608735,-0.352144184137489,-0.809886753823752,-0.311461795040051,1.23354473752046,2.50350143466241,0.441917516282727,0.993505331501909,0.417374914787248,0.429708282204063,0.669220010668912,0.824636631177759,0.841824334500425,0.775783490549678,0.602303705630014,0.690895295819711,-0.008536578440201,0.0431976856993975,0.000137429918534085,0.3087416337797,0.499239965106119,0.168422023930729,0.314360606945414,0.156770111284756,-0.002818777106253,-0.287597055431316,-0.338637679547774,-0.572937782071766,-0.307126342051925,1.20742618836628,1.66938764707074,0.321564522667372,0.659333153470561,0.307401201888993,0.0510767846030215,0.166390850717568,0.959576017823671,0.890703220520035,0.999300547819686,0.325764745151651,0.0402042493202539,0.678170699931237,0.30599465180055,54,15,261,70,331
"6",6,-0.0267924528301886,2.01416666666667,0.548081180811808,1.76484375,0.780537313432836,0.77778833953736,1.50076518492194,0.779918958156942,1.38079072408583,0.877828833023009,0.432337194129226,1.01743569336375,0.197994989539519,0.456520291700624,0.181763857256818,-0.0695769901330237,-0.493372130656545,0.3918559095401,0.486027394140883,0.521578219108567,1.62515366920774,3.49490250050043,1.16798200677378,2.27555405403077,1.23407944693745,0.0720136582735076,0.140199982519677,8.17931835825902e-05,0.00248963144990266,1.36875239054035e-06,0.0661546505349895,1.98449062916867,0.763349588404464,1.86712425176603,0.963112487601803,0.301276524643568,0.493797148759209,0.16525142812554,0.312347595857215,0.153798744305305,-0.524336487153797,1.01666600193205,0.439462740884596,1.25493421322822,0.66167248789592,0.656645788223776,2.95231525640529,1.08723643592433,2.47931429030385,1.26455248730769,0.82619736088018,5.84859229939561e-05,3.84995647173536e-06,2.26292096172642e-09,3.79678732898014e-10,0.269682221520005,0.0857107398994642,0.731254877743178,0.181775766477975,53,12,271,64,335
"7",7,-0.693818181818182,1.48333333333333,0.971861313868613,0.930322580645161,0.964196428571429,-0.227830640006273,0.0282518707714323,0.211058484374945,0.543103138231767,0.2711795477004,0.481494271928007,1.04389447243084,0.198460854351148,0.406518982155066,0.178588538831207,-1.1715420717475,-2.01774369885345,-0.177917642494355,-0.253659425824043,-0.078847556460399,0.715880791734957,2.07424744039632,0.600034611244244,1.33986570228758,0.6212066518612,0.636088942797808,0.978408756251264,0.287565849127446,0.181554275991939,0.128898482934771,-0.799496082883958,1.439834556566,0.270619187448167,0.707153848193477,0.35616488465474,0.324059988275871,0.498184102734034,0.165573073442367,0.288416856955085,0.151516711476697,-1.43464198873514,0.463411657536888,-0.0538980733084771,0.141867196027269,0.0591975871044674,-0.164350177032778,2.41625745559511,0.59513644820481,1.27244050035968,0.653132182205013,0.013620328949125,0.00385038935342086,0.102166579576316,0.0142125294127463,0.018739945533998,0.392565990181378,0.0169001703327203,0.663083337815923,0.419976809767522,55,9,274,62,336
"8",8,-0.212962962962963,0.329285714285714,0.756509803921569,1.68194805194805,0.971144578313253,0.658615115537054,0.530193208967297,1.04655336664947,0.990688317980227,1.03450376559605,0.478156822892961,0.910586946511071,0.206175367961455,0.374640926909357,0.180691539320725,-0.278555036295246,-1.2545244109867,0.642457070945721,0.256405594103185,0.680354856216321,1.59578526736935,2.3149108289213,1.45064966235321,1.72497104185727,1.38865267497577,0.16838738007754,0.560395370565693,3.85392502577631e-07,0.00818437254972859,1.03283116503761e-08,-0.242384414002242,0.360394814955097,1.01783327349973,1.75606731769879,1.21245861242494,0.322467067430502,0.465416664507107,0.170906917205982,0.272035038994942,0.153029358473287,-0.874408252366275,-0.551805085283594,0.682861871067235,1.22288843873575,0.912526581240024,0.389639424361792,1.27259471519379,1.35280467593222,2.28924619666183,1.51239064360985,0.452257755744562,0.438724578838112,2.59304544503181e-09,1.08005937526912e-10,2.33146835171283e-15,0.0212831456207052,0.170812814315905,0.747927321510887,0.16940544397863,54,14,255,77,332
"9",9,-0.537592592592593,1.72272727272727,0.895241635687732,1.26742424242424,0.968567164179104,1.08247260193643,1.4184814608332,0.738017236708313,1.1089959099908,0.812464788214191,0.522714473298504,1.19178124337213,0.191623209993568,0.426509613072371,0.175636433290446,0.0579710600735346,-0.917366853626528,0.362442646518964,0.273052429308845,0.468223704591845,2.10697414379932,3.75432977529293,1.11359182689766,1.94493939067276,1.15670587183654,0.0383711465759384,0.233960069740297,0.000117445473804767,0.00931786012718649,3.73096049588462e-06,-0.495141938418486,1.48898880559562,0.722602039550678,1.31046168321315,0.825735310368656,0.34219224639964,0.529752979747849,0.160790255115028,0.298471302363807,0.149390194167323,-1.16582641715064,0.450692044587057,0.407458930460216,0.725468680161328,0.532935910157258,0.175542540313664,2.52728556660418,1.03774514864114,1.89545468626498,1.11853471058005,0.147905306664172,0.00494303443313315,6.98759129247328e-06,1.13049492593831e-05,3.25061565442653e-08,0.00562988642618598,0.140389099841344,0.799660873211848,0.110092424311746,54,11,269,66,335
"10",10,-0.19280701754386,0.34,0.759962264150943,1.94878787878788,0.997009063444109,0.152240684052707,0.895930657861691,0.831941664852002,1.56020957288857,1.00481888727862,0.446613709281283,0.945193405984843,0.20286227573673,0.419173150096369,0.184751278165623,-0.72310610114045,-0.956614376293347,0.434338910586178,0.738645295413487,0.642713035976261,1.02758746924586,2.74847569201673,1.22954441911783,2.38177385036366,1.36692473858098,0.733195602646867,0.343190153280085,4.11338131374173e-05,0.000197563049925797,5.36509988657841e-08,-0.210444386984549,0.373584944894456,0.790737199537994,1.99945211396634,1.07691269329673,0.307865255922656,0.478168082886828,0.168612372556173,0.294749262413525,0.155921248597692,-0.81384920068416,-0.56360727612029,0.460263021980045,1.42175417516609,0.771312661620738,0.392960426715062,1.3107771659092,1.12121137709594,2.5771500527666,1.38251272497272,0.49425302442343,0.434635635282624,2.73639548953319e-06,1.17241771846466e-11,4.95803398337102e-12,0.461021158281089,0.00320568469342754,0.563882308283108,0.539123106303641,57,12,265,66,331
