"","scenario","stratum_01","stratum_10","stratum_00","stratum_11","stratum_s0"
"Bayesian ITT","s1",0.475,-0.422,0.005,0.054,-0.125
"Bayesian Delta","s1",0.004,0.008,-0.004,-0.009,0.004
"AdACE methodA","s1",NA,NA,0.038,NA,-0.107
"AdACE methodB","s1",NA,NA,-0.001,NA,-0.216
"PS Non-Cov-Adj","s1",-0.015,0.039,0.012,NA,-0.111
"PS Cov-Adj","s1",0.004,0.034,0.018,NA,-0.027
"Bayesian ITT1","s2",0.599,-0.583,0.025,NA,-0.085
"Bayesian Delta1","s2",0.005,0.009,0.021,0.003,0.023
"AdACE methodA1","s2",NA,NA,0.031,NA,-0.066
"AdACE methodB1","s2",NA,NA,0.004,NA,-0.131
"PS Non-Cov-Adj1","s2",0.018,-0.009,0.009,NA,-0.136
"PS Cov-Adj1","s2",0.024,-0.012,0.017,NA,0.002
"Bayesian ITT2","s3",0.439,-0.398,0.033,-0.005,-0.099
"Bayesian Delta2","s3",0.008,0.01,0.009,0.013,0.014
"AdACE methodA2","s3",NA,NA,0.055,NA,-0.112
"AdACE methodB2","s3",NA,NA,-0.017,NA,-0.22
"PS Non-Cov-Adj2","s3",0,0.036,0.007,NA,-0.118
"PS Cov-Adj2","s3",0.027,0.024,0.013,NA,-0.033
"Bayesian ITT3","s4",0.56,-0.544,0.028,NA,-0.075
"Bayesian Delta3","s4",0.007,0,0.016,0.012,0.015
"AdACE methodA3","s4",NA,NA,0.041,NA,-0.062
"AdACE methodB3","s4",NA,NA,0.007,NA,-0.125
"PS Non-Cov-Adj3","s4",0.006,0.016,0.018,NA,-0.126
"PS Cov-Adj3","s4",0.025,0.003,0.023,NA,0.01
"Bayesian ITT4","s5",0.349,-0.39,0.069,-0.049,-0.071
"Bayesian Delta4","s5",0.014,0.016,0.019,-0.008,0.022
"AdACE methodA4","s5",NA,NA,0.105,NA,-0.086
"AdACE methodB4","s5",NA,NA,0.002,NA,-0.202
"PS Non-Cov-Adj4","s5",-0.044,0.038,0.032,NA,-0.094
"PS Cov-Adj4","s5",-0.021,0.03,0.043,NA,-0.007
"Bayesian ITT5","s6",0.482,-0.501,0.039,NA,-0.059
"Bayesian Delta5","s6",0.009,0.007,0.015,0.026,0.015
"AdACE methodA5","s6",NA,NA,0.073,NA,-0.049
"AdACE methodB5","s6",NA,NA,0.009,NA,-0.12
"PS Non-Cov-Adj5","s6",-0.058,0.006,0.024,NA,-0.115
"PS Cov-Adj5","s6",-0.026,0.005,0.03,NA,0.015
"Bayesian ITT6","s7",0.485,-0.421,-0.002,0.008,-0.127
"Bayesian Delta6","s7",0.003,0.002,0.008,0.005,0.015
"AdACE methodA6","s7",NA,NA,0.011,NA,-0.094
"AdACE methodB6","s7",NA,NA,0.021,NA,-0.193
"PS Non-Cov-Adj6","s7",-0.026,0.033,0.017,NA,-0.11
"PS Cov-Adj6","s7",-0.003,0.025,0.025,NA,-0.023
"Bayesian ITT7","s8",0.63,-0.54,0.008,NA,-0.089
"Bayesian Delta7","s8",0.007,-0.002,0.012,-0.011,0.012
"AdACE methodA7","s8",NA,NA,0.016,NA,-0.058
"AdACE methodB7","s8",NA,NA,0.015,NA,-0.12
"PS Non-Cov-Adj7","s8",0.003,-0.004,0.013,NA,-0.126
"PS Cov-Adj7","s8",0.025,-0.008,0.021,NA,0.004
