"","scenario","stratum_01","stratum_10","stratum_00","stratum_11","stratum_s0"
"Bayesian ITT","s1",0.73,0.77,0.823,0.95,0.753
"Bayesian Delta","s1",0.99,0.987,0.727,0.977,0.75
"AdACE methodA","s1",NA,NA,0.98,NA,0.977
"AdACE methodB","s1",NA,NA,0.963,NA,0.95
"PS Non-Cov-Adj","s1",0.977,0.98,0.96,NA,0.983
"PS Cov-Adj","s1",0.973,0.983,0.973,NA,0.987
"Bayesian ITT1","s2",0.75,0.75,0.797,NA,0.763
"Bayesian Delta1","s2",1,1,0.683,NA,0.73
"AdACE methodA1","s2",NA,NA,0.983,NA,0.983
"AdACE methodB1","s2",NA,NA,0.963,NA,0.967
"PS Non-Cov-Adj1","s2",0.983,0.97,0.963,NA,0.96
"PS Cov-Adj1","s2",0.973,0.973,0.98,NA,0.987
"Bayesian ITT2","s3",0.75,0.813,0.827,0.96,0.813
"Bayesian Delta2","s3",0.987,0.967,0.727,0.983,0.743
"AdACE methodA2","s3",NA,NA,0.983,NA,0.987
"AdACE methodB2","s3",NA,NA,0.957,NA,0.947
"PS Non-Cov-Adj2","s3",0.993,0.973,0.963,NA,0.973
"PS Cov-Adj2","s3",0.993,0.963,0.98,NA,0.993
"Bayesian ITT3","s4",0.74,0.757,0.773,NA,0.787
"Bayesian Delta3","s4",1,1,0.667,NA,0.71
"AdACE methodA3","s4",NA,NA,0.987,NA,0.993
"AdACE methodB3","s4",NA,NA,0.987,NA,0.967
"PS Non-Cov-Adj3","s4",0.97,0.97,0.98,NA,0.983
"PS Cov-Adj3","s4",0.973,0.98,1,NA,1
"Bayesian ITT4","s5",0.823,0.787,0.823,0.93,0.793
"Bayesian Delta4","s5",0.983,0.987,0.723,0.987,0.74
"AdACE methodA4","s5",NA,NA,0.977,NA,0.983
"AdACE methodB4","s5",NA,NA,0.973,NA,0.953
"PS Non-Cov-Adj4","s5",0.977,0.98,0.953,NA,0.96
"PS Cov-Adj4","s5",0.973,0.983,0.977,NA,0.983
"Bayesian ITT5","s6",0.8,0.813,0.753,NA,0.773
"Bayesian Delta5","s6",1,1,0.64,NA,0.677
"AdACE methodA5","s6",NA,NA,0.98,NA,0.99
"AdACE methodB5","s6",NA,NA,0.98,NA,0.967
"PS Non-Cov-Adj5","s6",0.983,0.983,0.973,NA,0.97
"PS Cov-Adj5","s6",0.967,0.983,0.977,NA,0.993
"Bayesian ITT6","s7",0.733,0.747,0.863,0.94,0.787
"Bayesian Delta6","s7",0.97,0.97,0.77,0.99,0.793
"AdACE methodA6","s7",NA,NA,0.98,NA,0.987
"AdACE methodB6","s7",NA,NA,0.97,NA,0.96
"PS Non-Cov-Adj6","s7",0.967,0.983,0.97,NA,0.973
"PS Cov-Adj6","s7",0.97,0.98,0.977,NA,0.99
"Bayesian ITT7","s8",0.737,0.793,0.8,NA,0.787
"Bayesian Delta7","s8",1,1,0.663,NA,0.71
"AdACE methodA7","s8",NA,NA,0.977,NA,0.983
"AdACE methodB7","s8",NA,NA,0.99,NA,0.977
"PS Non-Cov-Adj7","s8",0.957,0.96,0.973,NA,0.98
"PS Cov-Adj7","s8",0.96,0.967,0.987,NA,0.99
