"","scenario","stratum_01","stratum_10","stratum_00","stratum_11","stratum_s0"
"Bayesian ITT","s1",0.083,0.523,0.453,0.053,0.647
"Bayesian Delta","s1",0.443,0.913,0.563,0.35,0.797
"AdACE methodA","s1",NA,NA,0.197,NA,0.31
"AdACE methodB","s1",NA,NA,0.153,NA,0.177
"PS Non-Cov-Adj","s1",0.117,0.587,0.157,NA,0.31
"PS Cov-Adj","s1",0.12,0.617,0.173,NA,0.457
"Bayesian ITT1","s2",0.057,0.357,0.57,NA,0.65
"Bayesian Delta1","s2",0.437,0.883,0.63,NA,0.783
"AdACE methodA1","s2",NA,NA,0.21,NA,0.313
"AdACE methodB1","s2",NA,NA,0.183,NA,0.213
"PS Non-Cov-Adj1","s2",0.107,0.49,0.19,NA,0.2
"PS Cov-Adj1","s2",0.097,0.487,0.243,NA,0.393
"Bayesian ITT2","s3",0.26,0.877,0.82,0.193,0.92
"Bayesian Delta2","s3",0.267,0.98,0.803,0.59,0.987
"AdACE methodA2","s3",NA,NA,0.527,NA,0.737
"AdACE methodB2","s3",NA,NA,0.433,NA,0.513
"PS Non-Cov-Adj2","s3",0.067,0.777,0.48,NA,0.647
"PS Cov-Adj2","s3",0.063,0.8,0.54,NA,0.817
"Bayesian ITT3","s4",0.207,0.753,0.857,NA,0.917
"Bayesian Delta3","s4",0.287,0.973,0.86,NA,0.957
"AdACE methodA3","s4",NA,NA,0.603,NA,0.77
"AdACE methodB3","s4",NA,NA,0.557,NA,0.61
"PS Non-Cov-Adj3","s4",0.08,0.727,0.59,NA,0.64
"PS Cov-Adj3","s4",0.087,0.717,0.67,NA,0.87
"Bayesian ITT4","s5",0.693,0.977,0.96,0.63,0.99
"Bayesian Delta4","s5",0.56,1,0.95,0.81,0.99
"AdACE methodA4","s5",NA,NA,0.873,NA,0.953
"AdACE methodB4","s5",NA,NA,0.833,NA,0.857
"PS Non-Cov-Adj4","s5",0.17,0.933,0.837,NA,0.93
"PS Cov-Adj4","s5",0.177,0.937,0.887,NA,0.987
"Bayesian ITT5","s6",0.543,0.947,0.977,NA,0.997
"Bayesian Delta5","s6",0.46,0.997,0.98,NA,0.997
"AdACE methodA5","s6",NA,NA,0.92,NA,0.973
"AdACE methodB5","s6",NA,NA,0.903,NA,0.92
"PS Non-Cov-Adj5","s6",0.137,0.873,0.903,NA,0.893
"PS Cov-Adj5","s6",0.127,0.87,0.943,NA,0.987
"Bayesian ITT6","s7",0.23,0.2,0.21,0.01,0.313
"Bayesian Delta6","s7",0.763,0.73,0.387,0.29,0.513
"AdACE methodA6","s7",NA,NA,0.037,NA,0.063
"AdACE methodB6","s7",NA,NA,0.063,NA,0.06
"PS Non-Cov-Adj6","s7",0.367,0.317,0.06,NA,0.053
"PS Cov-Adj6","s7",0.333,0.3,0.053,NA,0.11
"Bayesian ITT7","s8",0.147,0.097,0.257,NA,0.3
"Bayesian Delta7","s8",0.73,0.713,0.407,NA,0.453
"AdACE methodA7","s8",NA,NA,0.03,NA,0.053
"AdACE methodB7","s8",NA,NA,0.05,NA,0.043
"PS Non-Cov-Adj7","s8",0.333,0.253,0.043,NA,0.04
"PS Cov-Adj7","s8",0.3,0.243,0.043,NA,0.077
