"","Sim","trued_01","trued_11","trued_00","trued_10","trued_sp","adace_mean_starplusA","adace_se_starplusA","adace_res1_starplusA","adace_res0_starplusA","adace_se_res1_starplusA","adace_se_res0_starplusA","adace_mean_starplusB","adace_se_starplusB","adace_res1_starplusB","adace_res0_starplusB","adace_se_res1_starplusB","adace_se_res0_starplusB","adace_mean_plusplusA","adace_se_plusplusA","adace_res1_plusplusA","adace_res0_plusplusA","adace_se_res1_plusplusA","adace_se_res0_plusplusA","adace_mean_plusplusB","adace_se_plusplusB","adace_res1_plusplusB","adace_res0_plusplusB","adace_se_res1_plusplusB","adace_se_res0_plusplusB"
"1",1,-0.50183908045977,0.0245833333333332,0.0670949720670391,0.810930232558139,0.308490566037736,-0.0593874843920201,0.355088694331236,0.6325,0.69188748439202,0.27925201014488,0.272019903698609,-0.197874241504861,0.398140071672297,0.6325,0.830374241504861,0.27925201014488,0.293656656349541,-0.43045028029927,0.389138575832371,0.540400429841514,0.970850710140784,0.282263619879201,0.285360380845717,-0.27136934842399,0.394539455401253,0.771005317691096,1.04237466611509,0.292119141506225,0.284693839173155
"2",2,-0.606544117647059,-0.26824427480916,-0.204496268656716,0.867854406130268,0.146675031367629,0.208807650903421,0.206736249819602,1.2235142118863,1.01470656098288,0.165252682715306,0.153808928940601,-0.0903141540386506,0.238418729984103,1.2235142118863,1.31382836592496,0.165252682715306,0.186564071537814,0.216853468955384,0.227120909116937,1.36190097015003,1.14504750119465,0.173321543685634,0.161740618881863,-0.0820256717702321,0.227867802813021,1.31463789640769,1.39666356817792,0.170693956539364,0.16346675267499
"3",3,-0.616074074074074,-0.685,0.188189964157706,0.647372881355932,0.324672544080605,-0.129569109056778,0.193806638047505,0.608900255754476,0.738469364811254,0.155324096942364,0.149481421892828,-0.368390392880385,0.225827830501446,0.608900255754476,0.977290648634861,0.155324096942364,0.172485039823971,-0.113658286306658,0.215840803910224,0.786103591823465,0.899761878130124,0.162505702428975,0.15766592263276,-0.374764876595225,0.218983510998338,0.726530106922496,1.10129498351772,0.160509850823714,0.161454481551058
"4",4,-0.694141791044776,-0.425079365079365,-0.0279005524861878,1.05863117870722,0.326637717121588,0.210695275102066,0.20287728999323,0.943508771929825,0.732813496827758,0.154869219904986,0.150566296013308,0.11235454895635,0.218408162971515,0.943508771929825,0.831154222973475,0.154869219904986,0.160582202014692,0.0529627220379237,0.222053831672355,0.895916891658088,0.842954169620164,0.167041116896595,0.157311469371552,0.0172823912876847,0.219882602018819,1.00633765697483,0.989055265687147,0.160296518940782,0.160119863246999
"5",5,-0.47916,-0.809401709401709,0.0770609318996416,0.657927272727273,0.268823529411765,-0.0304158930555042,0.193021554730891,0.894231678486998,0.924647571542502,0.154467489219559,0.149673025836521,0.195779502082703,0.215001818570658,0.894231678486998,0.698452176404295,0.154467489219559,0.15392610201106,-0.393286088336746,0.218339405064379,0.660860055714499,1.05414614405125,0.15903794238511,0.161174387069469,0.162478159882135,0.217815138181595,0.998751326471683,0.836273166589548,0.160613140466591,0.158266964654129
"6",6,-0.466447876447876,-0.163214285714286,-0.345018115942029,0.996947791164659,0.072147315855181,0.215599114599247,0.199422866959733,1.04700767263427,0.831408558035024,0.160477497584645,0.161523026289993,-0.0204189491205049,0.233888818898592,1.04700767263427,1.06742662175478,0.160477497584645,0.179789901191272,-0.0660095001088473,0.22507048641463,0.98584735410146,1.05185685421031,0.158477979274213,0.1734172572606,0.0405977586951183,0.22109760026393,1.19182794765839,1.15123018896328,0.167628542748559,0.157639633609005
"7",7,-1.11261538461538,0.262857142857143,-0.00836996336996342,1.05770114942529,0.336418835192069,0.252447427448911,0.20310216074381,1.22914004914005,0.976692621691138,0.158690144776162,0.146697416775383,0.0661366931941611,0.223572968001712,1.22914004914005,1.16300335594589,0.158690144776162,0.170388836090818,0.183822966049568,0.215896624376601,1.2939571588793,1.11013419282973,0.164219097242508,0.151354126718647,0.00806670374860241,0.218376044859714,1.29766160237089,1.28959489862228,0.162351662194269,0.153927738430325
"8",8,-0.756880341880342,-0.0873228346456693,-0.00183098591549295,0.840073800738007,0.270107270560191,0.00691357051163151,0.198374234650839,0.861052631578947,0.854139061067316,0.146819742420921,0.152335420523165,0.0424431273371955,0.207922105371965,0.861052631578947,0.818609504241752,0.146819742420921,0.154057769536688,-0.221947099762917,0.21118866759913,0.730805888793212,0.95275298855613,0.152538662036502,0.158652354865989,-0.0374953716144399,0.212256629014669,0.924369276070136,0.961864647684575,0.151158756741354,0.157166934786894
"9",9,-0.189912663755459,-0.41696,-0.210764119601329,0.621598360655738,0.0293026004728132,0.109226243855889,0.192214718848926,1.1186866359447,1.00946039208881,0.149263676537219,0.144231711324085,0.0832005457530755,0.209783299945467,1.1186866359447,1.03548609019162,0.149263676537219,0.158159803575642,-0.0279081957495226,0.211031180740784,1.10770447639459,1.13561267214412,0.157673781255735,0.150212946850511,0.0104071359785223,0.211493227928269,1.20599797109967,1.19559083512115,0.154961526173482,0.151649828640156
"10",10,-1.0444128113879,0.550396825396825,-0.0784476534296029,0.626652719665272,0.1340605296343,0.0787686168371911,0.20122519855313,1.02036082474227,0.941592207905077,0.149015071163138,0.160176750364662,-0.173446269814279,0.233916979984216,1.02036082474227,1.19380709455655,0.149015071163138,0.191501581814912,-0.0978911179544391,0.22056608045131,1.04859517931036,1.14648629726479,0.154497944645708,0.16872455648651,-0.175768217225642,0.221129401521108,1.12816312819189,1.30393134541753,0.15471980988168,0.166881489759734
"11",11,-0.870074906367041,0.137941176470588,0.0654227941176471,0.980355731225296,0.355859473023839,0.0596488699820712,0.189269769726823,1.27651851851852,1.21686964853645,0.145513902094678,0.146066287919733,0.0124467925714498,0.214933072064514,1.27651851851852,1.26407172594707,0.145513902094678,0.173636460204202,-0.162195006633319,0.209377399883429,1.21448230972603,1.37667731635935,0.151404811253264,0.152921043780818,0.0298090869046441,0.205726988986446,1.41442876351837,1.38461967661373,0.148433705873841,0.150763324835484
"12",12,-0.898773234200744,-0.6752,0.0276642335766423,1.06918604651163,0.36105459057072,-0.0822893227811072,0.200964518887558,0.89760663507109,0.979895957852197,0.154034699150281,0.155319822969356,-0.128724711028047,0.224076523579365,0.89760663507109,1.02633134609914,0.154034699150281,0.171639363687085,-0.324827085870993,0.22457251584502,0.760659628111173,1.08548671398217,0.162925116208272,0.164042356626398,-0.206214839642799,0.222797115046224,0.952581413702324,1.15879625334512,0.159151888086267,0.166382112722074
"13",13,-1.22113537117904,0.10525641025641,-0.171523297491039,0.586731517509728,0.0675828220858896,-0.107386425692234,0.204157057185577,0.995496183206107,1.10288260889834,0.158417851189301,0.156574950635398,-0.148240644713521,0.226374792784699,0.995496183206107,1.14373682791963,0.158417851189301,0.173386508359119,-0.382372732805157,0.226369494245159,0.893648709419084,1.27602144222424,0.166431703735866,0.164763005775939,-0.17664308958434,0.223962708857492,1.13312143180359,1.30976452138793,0.165114356892605,0.161431892773044
"14",14,-0.988659003831418,-0.388759124087591,0.08524064171123,1.22979253112033,0.429177057356608,0.205534344284522,0.199057217289265,1.019140625,0.813606280715478,0.158555114378473,0.149185720917386,0.198272081363916,0.229041152030081,1.019140625,0.820868543636084,0.158555114378473,0.171382383315748,-0.039422165639707,0.224597908324537,0.973576883152191,1.0129990487919,0.168324943770046,0.159821016914769,0.165123372579255,0.221750348504254,1.14778422580798,0.98266085322873,0.163810715086503,0.160287952252009
"15",15,-0.3272030651341,-0.403454545454545,0.0251154529307282,0.901766917293233,0.306405307599518,0.267099513741359,0.19657290021198,1.17982885085575,0.912729337114387,0.156160627243957,0.155157949203513,0.1491736206938,0.22381409576785,1.17982885085575,1.03065523016195,0.156160627243957,0.170286676998671,0.167326630878329,0.22031970249231,1.25519625773744,1.08786962685911,0.15912573983708,0.164701119500564,0.121055796716666,0.220642975794408,1.31306481831414,1.19200902159748,0.162648213256167,0.16111804209003
"16",16,-0.954957983193277,0.227737226277372,0.146941391941392,0.862186379928315,0.388824242424242,0.507642347961401,0.204805799237993,1.25460240963855,0.746960061677153,0.153141256423563,0.161643918651934,0.446767089075455,0.218927164787894,1.25460240963855,0.807835320563099,0.153141256423563,0.161932445952927,0.344499500393358,0.223883202606298,1.25874775145283,0.914248251059468,0.162138539823983,0.16852850362402,0.2985692234309,0.224897633020365,1.36271302427452,1.06414380084362,0.159801132830424,0.170092616757475
"17",17,-0.451206225680934,-0.489153846153846,-0.131457564575646,0.721660516605166,0.152915129151292,0.205456120276809,0.191318170095129,0.883475177304964,0.678019057028155,0.148662718633608,0.145256018663692,0.189129184243359,0.204834367782715,0.883475177304964,0.694345993061605,0.148662718633608,0.145593145994467,0.0738940634998548,0.212368335232703,0.890475059877684,0.816580996377829,0.158315146150817,0.152816591422277,0.0691586757830178,0.211811583952737,0.98087727359527,0.911718597812252,0.153491347742986,0.156456054333047
"18",18,-0.702794117647059,-0.118671875,-0.422241054613936,0.818513011152416,-0.00503749999999999,0.171641839250706,0.201958497911391,1.10773631840796,0.936094479157254,0.153752220574245,0.15438255560476,0.00837080408326045,0.222876743990317,1.10773631840796,1.0993655143247,0.153752220574245,0.17253280513762,0.131465554177722,0.220454532268825,1.22581439563264,1.09434884145491,0.158578134298995,0.161977737251024,-0.0707017055516177,0.218893829809945,1.21198377446868,1.2826854800203,0.154649069950949,0.163941415530485
"19",19,-0.787490774907749,0.1505,-0.00272108843537416,0.863438914027149,0.23389369592089,-0.0221091203287837,0.191101640347964,0.897517730496454,0.919626850825238,0.139424238840816,0.155401028713548,-0.184698729458796,0.213291922348784,0.897517730496454,1.08221645995525,0.139424238840816,0.17275558856975,-0.145793638498079,0.211556590382136,0.92572240317024,1.07151604166832,0.146198686641614,0.162595262533483,-0.245282126728254,0.209664522296299,0.972160187593114,1.21744231432137,0.143613644708738,0.162605422187845
"20",20,-0.846307692307692,-0.119920634920635,0.2035,0.863858267716535,0.40955773955774,0.306564977639677,0.201936044639717,1.0980303030303,0.791465325390626,0.160065760668742,0.144974203594109,0.218569147120686,0.227006866591841,1.0980303030303,0.879461155909617,0.160065760668742,0.167882138006354,0.120462816003515,0.22387368119459,1.03247361432118,0.912010798317668,0.171250783698175,0.152797652260654,0.216349347273173,0.219607310511005,1.19891240488897,0.982563057615797,0.16347274961168,0.154895559714056
