"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-1.5498,0.126,0.72071129707113,2.87901098901099,1.31587878787879,-0.0938037120493378,0.668021822101873,0.918651145275718,1.56778149916812,1.0907683125774,0.417848663838728,0.8435203094433,0.196397555558832,0.361544705005902,0.174302466285282,-0.912772044161429,-0.985247604635077,0.533719009728702,0.859166898555397,0.749141756241735,0.725164620062753,2.32129124883882,1.30358328082273,2.27639609978085,1.43239486891305,0.822374435652315,0.42839265626414,2.90382191403538e-06,1.44873458777228e-05,3.90182774978598e-10,-1.6885778647573,0.179353627433119,0.936243196679119,2.82270739803287,1.42181238460153,0.293520795999369,0.44935376104892,0.164098109719359,0.265050394954497,0.148402235924449,-2.2638680536296,-0.701363560540381,0.614616811698074,2.30321816983394,1.1309493469644,-1.11328767588501,1.06007081540662,1.25786958166016,3.3421966262318,1.71267542223867,8.77570860424726e-09,0.689792399550895,1.1607915073597e-08,0,0,0.207011105141347,0.108497205863899,0.64745474864947,0.27422577206875,50,20,239,91,330
"2",2,-2.11762295081967,0.391176470588235,0.671937581274382,2.61232142857143,1.1096475327291,-1.20705377370258,0.304857095078751,0.406050927730064,1.78784523150649,0.824667955466917,0.254008098500003,0.558255302685547,0.126353269110645,0.209689201926471,0.107947621044632,-1.70490049854409,-0.789303192363428,0.158403070944302,1.37686194778366,0.61309450600266,-0.709207048861075,1.39901738252093,0.653698784515826,2.19882851522932,1.03624140493117,2.01385779974306e-06,0.585004742153621,0.00131074694248046,0,2.17603712826531e-14,-2.27156315128942,0.23961025981916,0.545475642623193,2.52034057367586,1.05776733760913,0.2016996175434,0.353841336836245,0.111403597913841,0.173023326023563,0.097229229375038,-2.66688713736999,-0.453906016621386,0.327128602963884,2.18122108618435,0.867201549789474,-1.87623916520886,0.933126536259706,0.763822682282503,2.85946006116738,1.24833312542879,0,0.498298957106609,9.76124464147077e-07,0,0,0.315018473405824,0.0217856279483908,0.514500221613849,0.421493383552114,122,85,769,224,993
"3",3,-2.42635593220339,0.115301204819277,0.656274768824306,3.05053719008264,1.23626626626627,-1.3888335022285,0.0976808023072065,0.327598115445568,1.93331396126468,0.825357068290578,0.252333413100268,0.5267405214891,0.125106145225358,0.199286787744926,0.107391473721997,-1.8833979040011,-0.934711649009275,0.0823945765592285,1.54271903468995,0.614873647548784,-0.89426910045591,1.13007325362369,0.572801654331907,2.32390888783942,1.03584048903237,3.71349746508542e-08,0.852880899551927,0.00883014142056759,0,1.53210777398272e-14,-2.52496847620809,0.170374309656019,0.334090594823312,2.67899198896977,1.02390836960797,0.200998113146278,0.342332466585324,0.110812180201343,0.165904383459795,0.096878145351868,-2.9189175389353,-0.500584995589977,0.116902712580317,2.35382537251124,0.83403069382927,-2.13101941348087,0.841333614902016,0.551278477066306,3.00415860542829,1.21378604538667,0,0.618704896051009,0.00257041413082182,0,0,0.375330197922292,0.0145854758694364,0.467508937286799,0.448170849885549,118,83,757,242,999
"4",4,-2.02330882352941,0.481690140845071,0.625907172995781,2.76464539007092,1.23328298086606,-0.155402595232763,0.883217919822075,0.760205773656884,1.73975195196918,1.05828388785986,0.26796300531354,0.4995292640865,0.116487448273714,0.19398432874717,0.101455376079909,-0.680600434836417,-0.0958414470112634,0.531894570389432,1.35954965405955,0.859435004705268,0.369795244370891,1.86227728665541,0.988516976924337,2.11995424987881,1.25713277101445,0.561954753096113,0.0770441111695904,6.75157707519247e-11,0,0,-1.81083596232718,0.639634917342362,0.604671482779467,2.91708041572592,1.26735981472376,0.211106286306588,0.330580316747997,0.104283359063804,0.162371833626191,0.0920839679197259,-2.2245966803981,-0.00829059748155447,0.400279854827552,2.59883746971486,1.08687855404755,-1.39707524425627,1.28756043216628,0.809063110731382,3.23532336173699,1.44784107539996,0,0.0530044014316294,6.69703070776961e-09,0,0,0.183860668951652,0.0945861769568505,0.611067599429495,0.330597566151706,136,71,711,282,993
"5",5,-1.64682170542636,1.01,0.751352405721716,2.44783653846154,1.11252814738997,-0.170612350685525,0.566363878052703,0.48726863084345,1.13427962303993,0.64141847984952,0.233759287423121,0.454877950696682,0.114357091717485,0.216933819335777,0.102143068662428,-0.62877213508659,-0.325180522674179,0.263132849700435,0.709097150113085,0.441221744000759,0.287547433715539,1.45790827877959,0.711404411986465,1.55946209596677,0.84161521569828,0.465473679935249,0.213098758084272,2.03569485586197e-05,1.70715626635065e-07,3.3942670896181e-10,-1.82798814080196,0.756287260378066,0.50619356659636,2.46437260235746,0.960116565530587,0.189360015233706,0.310526807439128,0.102616862637958,0.178170746599406,0.0926704845436184,-2.19912695077198,0.147665901563171,0.305068211619469,2.11516435592402,0.778485753395219,-1.45684933083194,1.36490861919296,0.707318921573251,2.81358084879091,1.14174737766595,0,0.0148713277370289,8.10384868876746e-07,0,0,0.193088534461951,0.122223518227035,0.675303499195906,0.19681886259467,129,94,769,208,977
"6",6,-1.7148905109489,0.523376623376623,0.601934640522876,2.75244343891403,1.08394523326572,-0.0605090701129068,0.632828179839148,0.766139788952555,1.54130422740286,0.979024144158085,0.229951329289992,0.467288556429855,0.114938827148642,0.212291948038653,0.101690690121764,-0.511205393718401,-0.283040561151079,0.540863827315943,1.12521965503925,0.779714053956404,0.390187253492588,1.54869692082938,0.991415750589167,1.95738879976647,1.17833423435977,0.792443755967154,0.175654821849581,2.63531418909224e-11,3.86246590267092e-13,0,-1.60478852509242,0.528430905268684,0.755121862668902,2.67837550395141,1.2258884256097,0.186708699314321,0.315977295186517,0.102988584790941,0.174865700373931,0.0922766574930386,-1.97073085134881,-0.0908732132292699,0.553267945659908,2.33564502908714,1.0450295003096,-1.23884619883603,1.14773502376664,0.956975779677896,3.02110597881569,1.40674735090979,0,0.0944514114008137,2.26596519325994e-13,0,0,0.192644621311503,0.0922702635443006,0.614306034833785,0.29216635068889,137,77,765,221,986
"7",7,-2.33361111111111,0.306142857142857,0.783045212765957,3.00397435897436,1.31012170385396,-0.428739036328348,0.521977170328646,0.950961923082895,1.78607263295664,1.17618433223189,0.257154856778401,0.491335015481415,0.110919475558094,0.197077103672942,0.0979331518082621,-0.93275329406357,-0.441021764358357,0.733563745804959,1.39980860758021,0.984238881795198,0.0752752214068734,1.48497610501565,1.16836010036083,2.17233665833307,1.36812978266857,0.0954665582634145,0.288069973421155,0,0,0,-2.19350882692625,0.0249945332131088,0.96272491737602,2.94553594795152,1.50815173654156,0.204250398948189,0.327663852293391,0.0998351775275117,0.164567565012736,0.0891866567842701,-2.59383225269264,-0.617214816317589,0.767051565031934,2.6229894475031,1.33334910134286,-1.79318540115986,0.667203882743807,1.15839826972011,3.26808244839993,1.68295437174027,0,0.939195524855322,0,0,0,0.253960444643644,0.071227524663145,0.619285425352962,0.3467659620307,144,70,752,234,986
"8",8,-1.67387096774194,1.03204545454545,0.634408602150538,2.63590163934426,1.1287044534413,-0.792711131425555,0.479657377535779,0.758344220716346,2.10554582362805,1.19349482626779,0.253295819202389,0.483444117780777,0.121426043137666,0.187189307186537,0.103680892697278,-1.28916181449681,-0.467875681852283,0.520353549381314,1.73866152325143,0.99028401069616,-0.296260448354304,1.42719043692384,0.996334892051379,2.47243012400466,1.39670564183942,0.00175052630632866,0.32111598919286,4.22939461230953e-10,0,0,-1.63764165173964,1.06142787870986,0.718042910965987,2.7165536310584,1.30228495615429,0.201636315332631,0.323511988429176,0.108184379360555,0.157541621190947,0.0939178686120232,-2.03284156776696,0.427356032821741,0.506005423729481,2.40777772745809,1.11820931616996,-1.24244173571232,1.69549972459799,0.930080398202493,3.02532953465871,1.48636059613862,4.44089209850063e-16,0.00103456699203652,3.19666515480321e-11,0,0,0.369139773370054,0.00122388724285063,0.47246812956724,0.510413397691639,124,88,744,244,988
"9",9,-2.06338842975207,0.756883116883117,0.602339901477833,3.113,1.07841317365269,-0.935050841469614,0.374779822368389,0.705022981007629,2.28704899110562,1.06710947775048,0.272558135099797,0.643452167015937,0.108455581764101,0.21196723144162,0.0987327789199604,-1.46925496995862,-0.886363250757099,0.492453946827651,1.87160085157738,0.873596786973802,-0.400846712980608,1.63592289549388,0.917592015187607,2.70249713063386,1.26062216852716,0.000602142862832888,0.560262451798344,8.0016882009204e-11,0,0,-2.02386398532315,0.601632610963227,0.623463983199896,3.19800935613941,1.23704726760669,0.213834847597967,0.38756981597706,0.0977876247576157,0.174735964687277,0.0898414338107625,-2.44297258525478,-0.157990269846628,0.431803760541252,2.85553315854848,1.06096129301815,-1.60475538539152,1.36125549177308,0.81512420585854,3.54048555373034,1.41313324219522,0,0.120585530209079,1.82136083992646e-10,0,0,0.356576006297805,0.0010039947213406,0.618989287146893,0.440592908063501,121,77,812,190,1002
"10",10,-2.22459677419355,-0.03,0.691597402597403,2.5555652173913,1.12031,-1.18702454621486,0.0218229296086361,0.581598276255839,1.94657970878702,0.989929078226915,0.249991152268776,0.496849564184487,0.12495369548704,0.19941496462322,0.107228375674481,-1.67699820111533,-0.95198432192738,0.336693533366056,1.55573356014717,0.779765323784202,-0.697050891314393,0.995630181144652,0.826503019145621,2.33742585742686,1.20009283266963,2.05167850042542e-06,0.964966092561064,3.24751432478898e-06,0,0,-2.25540176012915,0.164952818324806,0.756920581224068,2.46414039170036,1.18678350177388,0.199707134613202,0.328970868738372,0.110854694959787,0.166081061605747,0.0967854587450719,-2.64682055142672,-0.479818236365256,0.539649371585712,2.13862749243892,0.997087488406353,-1.86398296883158,0.809723873014868,0.974191790862423,2.7896532909618,1.37647951514141,0,0.616075042413104,8.60811422143115e-12,0,0,0.436844391455935,0.000473342553923849,0.463725589729466,0.485456981217679,124,76,770,230,1000
