"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.108684210526316,0.378301886792453,0.349947368421053,1.28975308641975,0.630848708487085,0.332975557337469,0.523487991443818,0.576390100206679,0.883901390670983,0.679808707218531,0.347096062799424,0.528271744928664,0.237818504420957,0.351577995799215,0.197445298188292,-0.347320224925053,-0.511905602666493,0.110274396684423,0.194821181147748,0.292823033852708,1.01327133959999,1.55888158555413,1.04250580372893,1.57298160019422,1.06679438058435,0.337398488104208,0.321712671039036,0.0153651781898406,0.0119337407360753,0.00057525034211392,1.99046917751529e-05,0.370306700159027,0.545700949325152,1.36327367986225,0.806246105210602,0.257096525507346,0.344067782560016,0.19206484386772,0.259859562135919,0.164863513211747,-0.503880025853006,-0.304053761899163,0.169260772648113,0.853958297037504,0.483119556950836,0.503919835236556,1.04466716221722,0.922141126002191,1.872589062687,1.12937265347037,0.999938226912216,0.28181059163823,0.00449394824074323,1.55273388369181e-07,1.00638776867612e-06,0.199410301078704,0.173960104923064,0.51115360689176,0.201903674976164,76,53,190,81,271
"2",2,0.0643295019157089,-0.138467741935484,0.0581718464351006,1.36320895522388,0.487312883435583,-0.0473078710737115,0.0371615645249633,0.183163490999487,0.368259750202225,0.247964885142492,0.218079067803878,0.307280920211157,0.13699566003327,0.198993182752355,0.113100156243224,-0.474734989751381,-0.56509797222523,-0.0853430687040154,-0.0217597211613878,0.0262926522599201,0.380119247603958,0.639421101275156,0.45167005070299,0.758279221565839,0.469637118025064,0.828262973048151,0.903741111076616,0.181221937434435,0.0642249737339815,0.0283480198148895,0.0687860503983804,-0.209358685671756,0.069479627028779,1.37430452723314,0.508212781518415,0.178944837125308,0.234791598420906,0.120474908919291,0.165880001289086,0.101602651418409,-0.281939385586609,-0.669541762449323,-0.166646855493775,1.04918569895107,0.309075244004557,0.41951148638337,0.250824391105811,0.305606109551333,1.69942335551521,0.707350319032273,0.700683429233624,0.372565131423436,0.564132334632439,1.11022302462516e-16,5.67492564940153e-07,0.130249411870261,0.221993245742711,0.553125618682542,0.160319651852648,261,124,547,268,815
"3",3,-0.122664092664093,-0.0936885245901639,0.5301230228471,0.8794,0.636739926739927,-0.0577511961212152,0.0560908189890492,0.11968219872243,0.27298849029889,0.169572318362804,0.218404095580919,0.342109914412071,0.132126294644868,0.213020711038673,0.11302130690159,-0.48581535753586,-0.61443229201269,-0.139280580192239,-0.144524431298022,-0.0519453726499604,0.37031296529343,0.726613929990789,0.378644977637098,0.690501411895803,0.391090009375568,0.791453532151486,0.869766136588096,0.365032902209545,0.20001406428045,0.133521930190995,-0.241245685185562,-0.00709489786746439,0.112358851218733,0.713466342160121,0.302032152037723,0.179195840595324,0.254649661849497,0.116696889362245,0.175537513076226,0.101540907670783,-0.592463078931778,-0.506199063767782,-0.116362849039123,0.369419138594989,0.103015630045482,0.109971708560655,0.492009268032853,0.341080551476588,1.05751354572525,0.501048674029965,0.178215995318471,0.977772689249322,0.335634626827263,4.81424516902695e-05,0.00293478493360588,0.192384341849158,0.16694081282313,0.526614539149015,0.208998171130422,259,122,569,250,819
"4",4,-0.447977099236641,0.329083969465649,0.438233151183971,1.30755813953488,0.716158612143742,0.270504477713507,0.496532752464474,0.520873889815002,0.696328908247652,0.577417610737384,0.213097291850031,0.315015296024515,0.136005557312684,0.206328747618503,0.114284472382157,-0.147158539515574,-0.1208858823228,0.254307895784844,0.291931993940131,0.353424160876193,0.688167494942588,1.11395138725175,0.78743988384516,1.10072582255517,0.801411060598575,0.204300484703892,0.114975591673717,0.000128248190555236,0.000738554997422813,4.36158008820797e-07,-0.3497393349513,0.370884950255848,0.51825089230373,1.3553837972547,0.820906634862925,0.175567456056446,0.239149747936199,0.119710742379975,0.170938713343699,0.102557769839169,-0.693845225679254,-0.0978399426109335,0.283622148676426,1.02035007553743,0.619897099643406,-0.00563344422334672,0.83960984312263,0.752879635931034,1.69041751897196,1.02191617008245,0.0463654571065311,0.120938072402583,1.4965682533008e-05,2.22044604925031e-15,1.22124532708767e-15,0.13931848830232,0.222119238975915,0.542628973901532,0.174887107680442,262,131,549,258,807
"5",5,-0.291168831168831,0.112033898305085,0.543622183708839,0.838722627737226,0.638636897767333,-0.0889644582359931,0.0645882683188617,0.287694238152663,0.407511262927879,0.325973830568052,0.237342187503006,0.372044968133364,0.129060970739604,0.203461216600184,0.109508385014629,-0.554146597753837,-0.664606469851883,0.0347393836932626,0.00873460614081628,0.111341339934232,0.376217681281851,0.793783006489606,0.540649092612064,0.806287919714942,0.540606321201871,0.707782244458028,0.862177166338248,0.0258049695693233,0.045188660406366,0.00291367051689617,-0.435655610728808,-0.0294038540682412,0.38798192014148,0.553119731753613,0.439993829310655,0.191739055986024,0.270543521648634,0.114298901831097,0.168993961785965,0.098696706560628,-0.811457254891123,-0.559659412750196,0.163960189080051,0.221897653048384,0.246551839059106,-0.0598539665664928,0.500851704613713,0.612003651202908,0.884341810458842,0.633435819562204,0.0230788015091008,0.913452833889267,0.000687665675231486,0.00106406919773572,8.2712612183844e-06,0.228835037161873,0.0920035150591839,0.498484353973763,0.310119014473188,231,118,577,274,851
"6",6,-0.330238095238095,0.338636363636364,0.172379248658318,1.30852140077821,0.530208333333333,-0.126617464927513,0.494563292322962,0.410284706119534,1.01774173964153,0.585666196486315,0.205609285245919,0.340613409356275,0.133554178371219,0.213944926273244,0.11395560718718,-0.529604258896537,-0.173026722666735,0.148523326527107,0.598417389470896,0.362317310563048,0.276369329041511,1.16215330731266,0.672046085711962,1.43706608981217,0.809015082409581,0.538016038997302,0.146507628271295,0.00212596284764943,1.96465133250889e-06,2.75581744757503e-07,-0.310402059641813,0.372057493607225,0.352908537552614,1.30244585943391,0.629856923101326,0.170483774206728,0.253494996637179,0.117804582513145,0.176135440261649,0.102290379722919,-0.644544117035459,-0.124783570062748,0.122015798613074,0.957226740119973,0.429371462879478,0.0237399977518324,0.868898557277198,0.583801276492155,1.64766497874785,0.830342383323174,0.0686504632048589,0.142182635802717,0.00273805386663406,1.41886502547095e-13,7.38844097014635e-10,0.428912808437422,0.00340174383645432,0.376204610044833,0.370047649419332,252,132,559,257,816
"7",7,-0.676885245901639,0.726666666666667,0.344679715302491,1.43057915057915,0.687247259439708,0.238925228484596,0.686035754524812,0.452807867404155,0.931707694620978,0.607361680490584,0.203063163273554,0.321346804433946,0.132169593557666,0.206214211950889,0.111928287974523,-0.159071258118346,0.0562075912872422,0.193760224179832,0.527535266096926,0.387986267209292,0.636921715087538,1.31586391776238,0.711855510628479,1.33588012314503,0.826737093771877,0.239353013854811,0.0327710959536821,0.000612628433769857,6.23809250255292e-06,5.75192271590197e-08,-0.494292007551744,0.766687602440828,0.472643311245446,1.47663740450567,0.773193801098831,0.168719223316705,0.242648893507074,0.116717646390367,0.170870581593494,0.100655167022327,-0.824975608752057,0.291104510278469,0.243880927960045,1.14173721856501,0.575913298877206,-0.163608406351431,1.24227069460319,0.701405694530848,1.81153759044633,0.970474303320456,0.00339319814731653,0.00157954240696334,5.1336193673035e-05,0,1.57651669496772e-14,0.207477059963767,0.174198506511686,0.508107572000911,0.18923390781422,244,135,562,259,821
"8",8,-0.320084388185654,0.580810810810811,0.386743362831858,1.08466898954704,0.621842723004695,0.365503595357336,0.593812904220555,0.403722072900142,0.597742678824214,0.469180859588899,0.20349562326936,0.309909334910531,0.13256546429355,0.203330738877721,0.111578347799707,-0.0333404972621412,-0.0135982306768481,0.143898537290953,0.199221753673963,0.25049131644699,0.764347687976813,1.20122403911796,0.663545608509331,0.996263603974465,0.687870402730809,0.0724746244022509,0.0553541638293504,0.0023232902684851,0.00328471222248283,2.61145199227375e-05,-0.246256347864893,0.629479122566526,0.377462166461472,1.12600634051087,0.645773869188778,0.169001156771611,0.236309144589367,0.117037233531223,0.168912677599178,0.100374648363849,-0.577492528482859,0.166321709953899,0.148073403890072,0.794943575884257,0.449043173434762,0.0849798327530727,1.09263653517915,0.606850929032872,1.45706910513748,0.842504564942794,0.145081001136071,0.00772646277426892,0.00125908437575883,2.62504462611446e-11,1.24587673511201e-10,0.0811848748251713,0.260362651807971,0.611260928190282,0.10235491251794,237,111,565,287,852
"9",9,-0.594130434782609,-0.025126050420168,0.496971713810316,1.00056,0.644911868390129,0.0449927267310169,0.178487261229218,0.535352156776753,0.644445890974347,0.568167993082538,0.212482940538503,0.3564900686925,0.126124249401523,0.215523946964139,0.109572489444473,-0.371466184053614,-0.520220434254292,0.288153170372621,0.222026717118715,0.353409860074976,0.461451637515648,0.877194956712728,0.782551143180886,1.06686506482998,0.782926126090101,0.832304045927473,0.616596718008784,2.18943687622097e-05,0.00278853353045294,2.15648793266965e-07,-0.583317932006648,0.0950901416353198,0.6089303227596,1.04647657078154,0.734315157210597,0.175067976776552,0.262334499768793,0.111992620067571,0.177217245241427,0.0987486788518025,-0.926444861334985,-0.419076029813846,0.389428820892884,0.699137152668944,0.540771303140152,-0.240191002678311,0.609256313084485,0.828431824626317,1.39381598889414,0.927859011281042,0.000862394183575255,0.716995838194826,5.4113396319444e-08,3.52541307258036e-09,1.0369483049999e-13,0.221321908518182,0.130843318987558,0.540719557813634,0.238966783033065,230,119,601,250,851
"10",10,-0.488473895582329,0.230534351145038,0.202542662116041,1.43128205128205,0.553182926829268,-0.318864309397063,0.331705816273134,0.161094865316421,0.844145523976335,0.377007250281181,0.204623705820267,0.323147387469723,0.142321539540155,0.215826356960156,0.119360309090066,-0.719919403187905,-0.301651424865734,-0.117850226406576,0.421133637419944,0.143065343281083,0.0821907843937784,0.965063057412001,0.440039957039418,1.26715741053273,0.610949157281279,0.119163088505062,0.30466321964972,0.25767318547548,9.1829031385382e-05,0.00158548150952931,-0.498535677971462,0.121365586488778,-0.00338255024111673,1.26952864564943,0.373180306697426,0.169760054566332,0.243906448227005,0.124525737245908,0.177406010317359,0.106613786278772,-0.831259270935026,-0.356682267633236,-0.247448510391394,0.921819254786461,0.164221125335582,-0.165812085007897,0.599413440610792,0.24068340990916,1.61723803651239,0.582139488059269,0.00331716486681422,0.618772542159408,0.978329357344644,8.30224777814692e-13,0.000464733668919859,0.390614125540223,0.0448162209225117,0.365123319144865,0.352236837989085,249,131,586,234,820
"11",11,-0.0377380952380952,1.48761904761905,0.245420393559928,0.893346007604563,0.452725060827251,0.269194373294215,0.63500816387326,0.446847191569443,0.842718918482109,0.565369541197179,0.200457909280946,0.33647692900932,0.125427571325774,0.207724985826738,0.108023456936282,-0.123695909312637,-0.0244744986136488,0.201013669102597,0.435585427572609,0.353647456116554,0.662084655901068,1.29449082636017,0.692680714036288,1.24985240939161,0.777091626277804,0.179305249976908,0.0591298727171874,0.00036721194457523,4.97289515131172e-05,1.66090321718215e-07,0.112092079340503,1.38739740736101,0.40158651424508,1.01232142318222,0.593303536788963,0.166922146601959,0.251297369676355,0.111441822232458,0.171918765699308,0.09748811564787,-0.215069316221451,0.894863613385708,0.183164556297947,0.675366834145001,0.402230341198462,0.439253474902457,1.87993120133631,0.620008472192212,1.34927601221945,0.784376732379464,0.501887341121729,3.37193148958193e-08,0.000313896689065785,3.90021503982041e-09,1.15834175584695e-09,0.360834554239469,0.0202112327397531,0.412202183096402,0.360672318789804,252,126,559,263,822
