"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-0.50183908045977,0.0245833333333332,0.0670949720670391,0.810930232558139,0.308490566037736,-0.0798916614408902,0.223153249823923,0.296708788090376,0.517981776494373,0.375790033835684,0.352399212013336,0.500968465820866,0.247702520298518,0.344594791912153,0.201292467111003,-0.770581425167324,-0.758726900575259,-0.188779230574521,-0.15741160491352,-0.018735952061095,0.610798102285544,1.20503340022311,0.782196806755273,1.19337515790227,0.770316019732464,0.82065093643027,0.6559991334392,0.230978052264159,0.1327972890204,0.0619175474381068,-0.574825072880363,0.0444492251544582,0.321833511805833,0.914500907702955,0.537749514772071,0.260080824758833,0.332643678436232,0.198410025059546,0.255985404040182,0.167516513573941,-1.08457412247715,-0.60752040426548,-0.0670429914825657,0.412778735216264,0.209423181351432,-0.0650760232835772,0.696418854574397,0.710710015094232,1.41622308018965,0.86607584819271,0.027092769635958,0.893699795136094,0.104789911981331,0.000353626145713881,0.00132675700266582,0.18418284617264,0.195541398880898,0.454427627616239,0.252942227403614,87,48,179,86,265
"2",2,-0.606544117647059,-0.26824427480916,-0.204496268656716,0.867854406130268,0.146675031367629,-0.579237199980994,-0.125823910656395,-0.30130310175942,0.187310030093437,-0.140889395583791,0.201193682479577,0.297374356519564,0.14213329533894,0.204271194196533,0.1171160446613,-0.973569571557951,-0.708666939360514,-0.579879241627737,-0.213054153610755,-0.370432625131724,-0.184904828404037,0.457019118047724,-0.022726961891103,0.587674213797628,0.0886538339641415,0.00398934636392645,0.672210476135198,0.0340176076665202,0.359159712332789,0.22898030591541,-0.755266956599585,-0.504869662879848,-0.451324842840658,0.838949085144933,-0.0178201104222189,0.167447034588489,0.228895600678562,0.124423997011541,0.169545684676795,0.104830911673085,-1.08345711371106,-0.953496796429491,-0.695191395795799,0.506645649444231,-0.223284921767965,-0.427076799488113,-0.0562425293302059,-0.207458289885518,1.17125252084563,0.187644700923527,6.46802692938486e-06,0.0274066537215993,0.000286385504137066,7.48958262186683e-07,0.86501872312567,0.330813435485939,0.0871740002964891,0.39857715832304,0.305269304487692,272,131,536,261,797
"3",3,-0.616074074074074,-0.685,0.188189964157706,0.647372881355932,0.324672544080605,-0.776005920000639,-0.366451548939429,-0.259889825664147,0.201199824511214,-0.103319447875736,0.205248441108448,0.329112605781843,0.139915497465916,0.215936725505698,0.118012645242772,-1.17828547245619,-1.01150040312997,-0.534119161576348,-0.222028380419465,-0.334619982271871,-0.373726367545091,0.278597305251111,0.0143395102480549,0.624428029441893,0.1279810865204,0.000156317223964697,0.265513752801117,0.0632433131845335,0.351463871521982,0.381304781537851,-1.04292363867412,-0.560478061537391,-0.071756716988699,0.308599244017753,0.049815944287899,0.170228071499442,0.246967800400816,0.122643106471642,0.177473249721394,0.105532126564115,-1.37656452797073,-1.04452605566407,-0.312132788625228,-0.0392419336554624,-0.15702322298969,-0.7092827493775,-0.076430067410715,0.16861935464783,0.656440421690968,0.256655111565487,8.97624197193636e-10,0.0232417157127456,0.558490152913739,0.0820612663005903,0.636894455170406,0.404740070433561,0.0290771057430737,0.319472500503435,0.393225340929346,270,136,558,236,794
"4",4,-0.694141791044776,-0.425079365079365,-0.0279005524861878,1.05863117870722,0.326637717121588,-0.202060198048986,-0.126736675989758,0.194803739652818,0.234282160822639,0.207153785905318,0.210877472202087,0.309345109136139,0.135512631847854,0.206657237526437,0.114109269420618,-0.615372448715924,-0.733041948690204,-0.0707961382192119,-0.170758581873717,-0.0164962724612705,0.211252052617952,0.479568596710688,0.460403617524847,0.639322903518995,0.430803844271906,0.337968123255565,0.682030809453083,0.150566897517837,0.256930865389915,0.0694627057561247,-0.633683464266994,-0.282148866384839,0.214510935053196,0.86584312445662,0.451714845376799,0.174063075998466,0.236007660577762,0.119329691438451,0.171174043666329,0.102416087850459,-0.974840824262246,-0.744715381192805,-0.0193709624524453,0.530348163782528,0.250983001752408,-0.292526104271742,0.180417648423127,0.448392832558836,1.20133808513071,0.652446689001189,0.000272067602184789,0.231888910123253,0.0722352598815834,4.23095338764057e-07,1.03091799955601e-05,0.135707098636592,0.226546831945058,0.548127410238642,0.144463466397374,268,126,543,263,806
"5",5,-0.47916,-0.809401709401709,0.0770609318996416,0.657927272727273,0.268823529411765,-0.41166588473405,-0.235724919654962,-0.147854634847779,-0.000746327545016606,-0.103100228026387,0.217963503272605,0.351034900919942,0.130739603254231,0.210345432881989,0.11147334303221,-0.838866501092533,-0.923740682774634,-0.404099548579127,-0.413015800306201,-0.321583965605798,0.0155347316244336,0.452290843464711,0.108390278883568,0.411523145216168,0.115383509553025,0.058933135933009,0.501893018309533,0.258093263257382,0.997169028260387,0.355024772503415,-0.492795909638809,-0.701795629094409,-0.178341373888027,0.430576767289676,0.0213726036083293,0.178868117273753,0.259485374503262,0.115612931070049,0.173723296685456,0.100289978826813,-0.843370977477851,-1.21037761763569,-0.404938554932435,0.0900853625106157,-0.175192142902509,-0.142220841799767,-0.193213640553128,0.0482558071563803,0.771068172068736,0.217937350119168,0.00586778492870899,0.00683934374148609,0.122934438513772,0.013192849740878,0.831242671983894,0.264621064703751,0.106320734321656,0.503253705671077,0.257587362883305,250,117,558,275,833
"6",6,-0.466447876447876,-0.163214285714286,-0.345018115942029,0.996947791164659,0.072147315855181,-0.302876210436667,0.192900095052881,-0.0262579553762053,0.450699092071815,0.115729660860597,0.203116034775543,0.326221935391626,0.135673915648927,0.213683275332236,0.115113549372912,-0.700976323279317,-0.446483149281658,-0.292173943689627,0.0318875683220771,-0.109888750042884,0.0952239024059818,0.832283339387419,0.239658032937216,0.869510615821553,0.341348071764078,0.135922459750588,0.554309029132341,0.846538242866403,0.0349279971523143,0.314727284779694,-0.49684110433915,0.0107880667188697,-0.137448565057317,0.941358531526775,0.199938982523036,0.1687387420256,0.24560163841581,0.119452941579558,0.175972471715218,0.103220684551042,-0.827562961505922,-0.470582299120146,-0.371572028400618,0.596458824694454,-0.00236984165657597,-0.166119247172378,0.492158432557886,0.0966748982859841,1.2862582383591,0.402247806702648,0.00323539655031602,0.964964139534401,0.249876123842362,8.82147482839102e-08,0.0527447316475484,0.311643415280899,0.0896241627449167,0.444106998208309,0.26577043772718,259,140,552,249,801
"7",7,-1.11261538461538,0.262857142857143,-0.00836996336996342,1.05770114942529,0.336418835192069,-0.657175025074165,0.232424922575756,0.145245439481346,0.952178575104116,0.411051124766366,0.195076137044677,0.320380952584757,0.140563300172505,0.206780983100109,0.11714634652625,-1.03951722792493,-0.395510205823003,-0.130253566404856,0.546895295540118,0.181448504654468,-0.274832822223398,0.860360050974515,0.420744445367548,1.35746185466811,0.640653744878265,0.000754926298956127,0.468167278589365,0.301458929585575,4.12924775328172e-06,0.000450017352082277,-0.907977541232908,0.472773155635664,-0.00215923413810457,1.2792556675287,0.37593726153889,0.163144315560483,0.241338419095647,0.1231625697704,0.171246233517289,0.104839511090415,-1.22773452401389,-0.000241453877637132,-0.243553435131491,0.943619217346673,0.170455595644889,-0.588220558451924,0.945787765148966,0.239234966855282,1.61489211771072,0.58141892743289,2.61421513325644e-08,0.0501170607762446,0.986012541504971,8.00470800754738e-14,0.000336000464435049,0.399013129524389,0.0241793028172687,0.310415645626831,0.384521566337346,260,133,546,261,807
"8",8,-0.756880341880342,-0.0873228346456693,-0.00183098591549295,0.840073800738007,0.270107270560191,-0.624447727934064,-0.0150073887322671,0.0547894230077522,0.787662854396866,0.318450425276436,0.215398643679959,0.325444730182665,0.134864900672639,0.193847918107014,0.111673323950877,-1.04662131186556,-0.652867338848646,-0.209540925089193,0.407727916429048,0.0995747322988439,-0.202274144002568,0.622852561384112,0.319119771104697,1.16759779236468,0.537326118254028,0.00374315762782496,0.963219802745927,0.6845558844738,4.83831287363401e-05,0.00434964017040795,-0.89387153279397,-0.0233499674534831,0.0397205220660341,1.00140983773659,0.341057688298178,0.177126497583926,0.244967337854904,0.118784284047191,0.162302382971771,0.100442224831447,-1.24103308876619,-0.50347712703775,-0.193092396595836,0.683303012506888,0.144194545101467,-0.546709976821754,0.456777192130783,0.272533440727904,1.31951666296628,0.537920831494888,4.49941505942242e-07,0.924061692205769,0.738083726137861,6.8278982467973e-10,0.000684881433626439,0.412763989984485,0.00242618650604447,0.307773648348584,0.443277378956953,234,127,568,271,839
"9",9,-0.189912663755459,-0.41696,-0.210764119601329,0.621598360655738,0.0293026004728132,-0.0806333709908367,-0.0700660395966951,0.0401979703532337,0.0337442942326586,0.0391905453554121,0.210425717833171,0.367600644028692,0.12390077839813,0.219639690585823,0.108645766843271,-0.49306019936484,-0.790550062586659,-0.20264309296358,-0.396741588891075,-0.173751244730135,0.331793457383166,0.650417983393269,0.283039033670047,0.464230177356392,0.25213233544096,0.701577693500751,0.848836098145517,0.745607373216236,0.877897716723681,0.718309843263339,-0.144526006529844,-0.178716775684328,-0.000335237443633577,0.554083644879209,0.162470307365455,0.173772765446563,0.268277975171008,0.110236205482645,0.18003899973749,0.0979955839541281,-0.485114368299034,-0.704531944864834,-0.216394229981974,0.201213689581112,-0.029597507828607,0.196062355239347,0.347098393496179,0.215723755094707,0.906953600177307,0.354538122559517,0.405580907976699,0.505307122441783,0.99757357061573,0.00208691847966713,0.097330589067369,0.0618996127434816,0.235026765619326,0.669527230168647,0.0795700349799939,229,125,602,244,846
"10",10,-1.0444128113879,0.550396825396825,-0.0784476534296029,0.626652719665272,0.1340605296343,-0.59945664220539,0.0244600588914579,-0.203612639824849,0.454285146712058,0.0451161658573369,0.205054815437094,0.306142808001344,0.15039751148644,0.200023514767748,0.120527160611257,-1.0013566953186,-0.575568818917136,-0.49838634570272,0.0622462617061557,-0.191112728099602,-0.197556589092179,0.624488936700052,0.0911610660530214,0.846324031717961,0.281345059814276,0.00346234700970316,0.936318742102463,0.175790669306757,0.023137372281,0.708163543899469,-1.18935857360097,0.367063601499709,-0.27423265226875,0.872815334010393,0.0601412854298594,0.169973559753919,0.233810968513589,0.130454836689035,0.166572757125951,0.107490034954986,-1.52250062904272,-0.0911974759773539,-0.529919433788314,0.546338729237991,-0.150535311778864,-0.856216518159227,0.825324678976772,-0.0185458707491867,1.1992919387828,0.270817882638583,2.60913513017158e-12,0.116434633797937,0.0355421403625609,1.60712020802478e-07,0.575816653775655,0.266533185622392,0.141703941150574,0.342931766282989,0.25635405254997,281,126,554,239,793
