"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-1.41270833333333,0.635555555555556,0.073939393939394,1.51023529411765,0.56228,-1.02667655949835,0.346167878595107,0.0789518787473598,1.37801194750872,0.595130238093093,0.327901307861153,0.474322445378321,0.270682298270708,0.341445553842986,0.215652566046562,-1.66935131338979,-0.583487031405368,-0.451575677115757,0.708790959295136,0.172458975468187,-0.38400180560691,1.27582278859558,0.609479434610476,2.04723293572231,1.017801500718,0.00174180386738332,0.465502961028684,0.770533375810561,5.44124968222537e-05,0.00578595109961966,-1.16402170155049,0.522850069796524,-0.202303078601876,1.69344678958165,0.465000874998725,0.246670100033961,0.320398009254521,0.212351633728066,0.254161991835089,0.177195376325862,-1.64748621367995,-0.105118489060669,-0.618504632767126,1.19529843934591,0.117704319173014,-0.68055718942104,1.15081862865372,0.213898475563374,2.19159513981739,0.812297430824436,2.37075309628132e-06,0.102705447718772,0.340752410704055,2.68541855419357e-11,0.00868459055856274,0.475603987101472,0.00599944732993319,0.188198379698849,0.432271906628924,96,54,165,85,250
"2",2,-1.36072796934866,-0.329230769230769,-0.112379182156134,1.56632653061224,0.412886334610473,-1.0626732904383,-0.209303496870704,-0.259076814912386,0.615719458643657,0.0388130865564395,0.198085473668945,0.314539676793378,0.136812418198589,0.205760276150936,0.115434627745759,-1.45091368468999,-0.825789935094593,-0.527224227219453,0.212436727938807,-0.187434626394035,-0.674432896186609,0.407182941353186,0.00907059739468047,1.01900218934851,0.265060799506914,8.10744611445813e-08,0.505776803650073,0.0582695606796304,0.00276782718859692,0.736694154775322,-1.57378481900039,-0.426518876283223,-0.389433376330903,1.39077730508511,0.214607379847387,0.165230772686488,0.238689137451783,0.120297024905915,0.170562782242619,0.10346779984846,-1.89763118260363,-0.894340989189648,-0.625211212593814,1.05648039478663,0.011814218584807,-1.24993845539715,0.0413032366232012,-0.153655540067993,1.7250742153836,0.417400541109967,0,0.0739500925425407,0.00120681190456207,3.33066907387547e-16,0.0380657027051643,0.296831825328377,0.0967455089667753,0.381384854846191,0.316845240744961,261,156,538,245,783
"3",3,-1.47769230769231,-0.0315976331360947,-0.134232902033272,1.8158024691358,0.470178571428571,-1.19729072113997,-0.129611757825479,-0.370600035236409,0.745384208018831,0.01499576216182,0.200828678381555,0.304015143261421,0.14008880484085,0.195753137204304,0.11549311047391,-1.5909076978306,-0.72547048937265,-0.645169047361736,0.361715109237668,-0.211366574829548,-0.803673744449348,0.466246973721692,-0.0960310231110816,1.12905330679999,0.241358099153188,2.49548104402919e-09,0.669865047744096,0.00815787170871773,0.000140221879956215,0.896692078890664,-1.78786802898472,-0.266155160326175,-0.50320809699872,1.73637265592376,0.21923730716982,0.167170448851445,0.232759957670323,0.122770273338011,0.163630260879045,0.103504278096349,-2.11551608801295,-0.722356294403077,-0.74383341111336,1.41566323781993,0.0163726498551579,-1.46021996995649,0.190045973750726,-0.262582782884081,2.05708207402758,0.422101964484483,0,0.252841486248983,4.15337143567784e-05,0,0.0341625947538359,0.324652792993341,0.106334202180174,0.380726971406243,0.285794079596902,247,169,541,243,784
"4",4,-1.81543726235741,-0.133410404624277,0.0927165354330709,1.86375,0.686151832460733,-0.801488813689314,0.017042028464837,0.149224748695979,0.95356855016885,0.456863962729971,0.185938159244126,0.268384592402298,0.15183611843124,0.197821208657762,0.121644106364827,-1.16592090915947,-0.508982106649129,-0.14836857498161,0.565846105821454,0.218445895323351,-0.437056718219154,0.543066163578803,0.446818072373567,1.34129099451625,0.695282030136592,1.62876407089341e-05,0.949369525701088,0.325705196159333,1.43302627841901e-06,0.000172828193855779,-1.70375635698998,-0.132566842402227,0.168598177136568,2.05168436009169,0.794603947244125,0.156718991716868,0.21119040837905,0.131638062751524,0.165108943566968,0.108396268054518,-2.01091993644847,-0.546492436705471,-0.0894076848510424,1.72807677717498,0.582151165798721,-1.39659277753149,0.281358751901017,0.426604039124179,2.3752919430084,1.00705672868953,0,0.530192347405863,0.200274209391089,0,2.29150032282632e-13,0.267580618129062,0.172456255226484,0.37203436304873,0.232751283605804,263,173,508,256,764
"5",5,-1.13311403508772,-0.334939759036145,-0.159703153988868,1.53359550561798,0.401228287841191,-0.962941709936358,-0.162279351466858,-0.187842955435762,0.694669467241823,0.152391655433385,0.218689895455517,0.301323917498327,0.139754612813091,0.178769797223898,0.111391765930687,-1.391566028812,-0.752863377444097,-0.461756963222761,0.344287103159455,-0.0659321939650779,-0.534317391060714,0.428304674510382,0.0860710523512357,1.04505183132419,0.370715504831847,1.0665143926003e-05,0.590194290684774,0.178918873818172,0.00010197985514826,0.171290384642447,-1.38978329716039,-0.349255492457755,-0.366667220407786,1.27309265853185,0.255174086339854,0.179291651810978,0.230996717918887,0.122584677531287,0.151625129894271,0.100210328984378,-1.7411884774386,-0.802000740125731,-0.606928773425565,0.97591286478787,0.0587654506515631,-1.03837811688217,0.103489755210222,-0.126405667390007,1.57027245227583,0.451582722028144,9.10382880192628e-15,0.13054657753242,0.00277943323616892,0,0.0108845044445494,0.264444256464762,0.0707831713020473,0.37202450281551,0.390595082438442,228,166,539,267,806
"6",6,-1.75572614107884,0.221395348837209,-0.174,1.62814049586777,0.380152477763659,-0.474372284242008,0.0362947499462542,-0.0254107356690682,0.545834114126839,0.183838466601031,0.193090763104775,0.286621818657582,0.13372860845142,0.201019330950317,0.112772198549543,-0.852823225674723,-0.525473691805978,-0.287513991936511,0.151843465267879,-0.0371909810134739,-0.0959213428092933,0.598063191698486,0.236692520598374,0.939824762985798,0.404867914215537,0.0140207182943363,0.899233723588917,0.849295652829979,0.00662094665162627,0.103064426449235,-1.89011718275928,0.183585269086116,-0.00645724233957226,1.64902723522661,0.558304389330142,0.161745271933021,0.222558577670695,0.117937666813024,0.167284578915374,0.10133610463786,-2.20713209041764,-0.252621527598907,-0.237610821713785,1.32115548538353,0.359689273906355,-1.57310227510092,0.619792065771139,0.22469633703464,1.97689898506969,0.756919504753929,0,0.40943678935781,0.956336587226658,0,3.59993190812702e-08,0.159714653113114,0.230780893564842,0.506847973350257,0.166407218426278,241,172,545,242,787
"7",7,-1.56158102766798,-0.250212765957447,-0.169143897996357,2.10268482490272,0.555248138957816,-0.768275956549712,0.0444509078015111,0.188282992335139,1.04020354508307,0.463473761882292,0.209282306550286,0.333517811049601,0.133216443535357,0.192810736778341,0.111024066381493,-1.17846173998974,-0.609231990058341,-0.0728164391426751,0.662301445164893,0.245870590357381,-0.358090173109681,0.698133805661363,0.449382423812952,1.41810564500125,0.681076933407202,0.00024160058829592,0.893972764723409,0.157549459927828,6.85441005066068e-08,2.98596365677639e-05,-1.46758783114504,-0.300639839564989,0.145974164126534,1.96263015063185,0.766828917637375,0.172983052686808,0.249052288856345,0.117537311404578,0.161598573384954,0.0999095987515548,-1.80662838434698,-0.788773355990692,-0.0843947330661078,1.64590276684428,0.57100970237448,-1.1285472779431,0.187493676860714,0.376343061319175,2.27935753441941,0.96264813290027,0,0.227379995701501,0.214259090860985,0,1.64313007644523e-14,0.26755143616947,0.0983070143919783,0.462949669743883,0.290988998628765,253,141,549,257,806
"8",8,-1.891,0.228164556962025,-0.0498736462093863,1.80205426356589,0.538546798029557,-0.492713341399815,0.201393071559028,-0.0619689614258763,0.600103108809284,0.173383407791819,0.20300718198399,0.290273899750983,0.131331614294899,0.188855695344266,0.10885784268383,-0.890600106691404,-0.367533317604888,-0.319374195475384,0.229952747659254,-0.0399740433032162,-0.0948265761082253,0.770319460722944,0.195436272623632,0.970253469959313,0.386740858886853,0.015221173944172,0.487805395633557,0.637033102363799,0.00148512347248975,0.11121612333229,-1.99178340094776,0.230090200808512,-0.0671076823120155,1.72146887152795,0.548366267651026,0.168648103737051,0.224678412496423,0.116072559583619,0.15880847292511,0.0981635059479123,-2.32232761033336,-0.21027139578811,-0.294605718689288,1.41020998415493,0.355969331396935,-1.66123919156217,0.670451797405134,0.160390354065257,2.03272775890097,0.740763203905118,0,0.305794269473537,0.563160921577175,0,2.32019954360396e-08,0.153612932328229,0.206153125969488,0.534478452493138,0.173456774266737,230,158,554,258,812
"9",9,-1.51169291338583,-0.217338129496403,-0.107455516014235,1.64795918367347,0.4254770755886,-1.07430218222351,0.14023567578818,-0.031437642942362,1.19658473271294,0.389976623580883,0.185565248165041,0.316303172444498,0.138683385289357,0.203150535477034,0.116412205130179,-1.43800338540923,-0.479707150398798,-0.303252083363593,0.798416999737929,0.161812894164844,-0.710600979037791,0.760178501975158,0.240376797478869,1.59475246568796,0.618140352996923,7.06592961918773e-09,0.657506503811934,0.82066757172406,3.8587274486801e-09,0.000808222462520325,-1.37684932542279,-0.125597659454929,-0.253701161592641,1.74347477999189,0.340053848067625,0.156450422971559,0.23943208126509,0.121666251796702,0.168765861594888,0.104234863783936,-1.68348651981311,-0.594875915477973,-0.492162633248158,1.41269976944604,0.135757269117673,-1.07021213103248,0.343680596568115,-0.0152396899371233,2.07424979053774,0.544350427017578,0,0.599885710759565,0.0370491413561354,0,0.00110480513665889,0.411128119146191,0.0191347683046688,0.300847629664677,0.407152588102736,254,139,562,245,807
"10",10,-1.59110294117647,0.2255,-0.232640449438202,1.72269230769231,0.363125,-0.694370782510814,0.0879013401190187,-0.401292408314199,0.430133124121743,-0.130853110881803,0.193204288170379,0.298322202905944,0.135180716808902,0.205795159358867,0.114227641682095,-1.07304422898345,-0.496799433365281,-0.666241744663956,0.026782023585682,-0.354735174617656,-0.315697336038173,0.672602113603319,-0.136343071964443,0.833484224657804,0.0930289528540494,0.000325674977036394,0.768259461956234,0.00299196237455579,0.0366085289842427,0.251982715139558,-1.5084740065508,0.253161946070924,-0.497300116008114,1.68134010266669,0.216825230958275,0.161870205572825,0.229517679974124,0.119068927966605,0.17056064262771,0.102505710398239,-1.82573377964364,-0.196684440493549,-0.730670926500454,1.34704738593637,0.0159177303680332,-1.19121423345797,0.703008332635397,-0.263929305515775,2.01563281939701,0.417732731548518,0,0.270019700835655,2.95933293430473e-05,0,0.0344086230215606,0.225678229851974,0.189063943288825,0.502534657334301,0.166007025138446,272,160,534,234,768
