"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,0.40517226093929,0.0566569111174016,1.95240264993866,1.62224148066034,0.95916845614673,0.705247816692795,1.72447922074203,1.44028686791536,1.64618615625375,0.0566825933615797,0.0695018630116047,0.0240993651062716,0.0505546952120047,0.0231458306679809,0.848072614607704,0.569026668331613,1.67724533308346,1.34120148605043,1.60082116175224,1.07026429768575,0.841468965053977,1.77171310840061,1.53937224978029,1.69155115075525,0,0,0,0,0,0.381840130916315,0.380342412506416,1.94359900075519,1.58411435167967,1.83380045889365,0.0534853129381274,0.0646508634802791,0.0235147161564595,0.0480849257128455,0.022615322606693,0.277010843855731,0.253629048515653,1.89751100398184,1.48986962908321,1.78947524108577,0.486669417976899,0.507055776497179,1.98968699752853,1.67835907427613,1.87812567670152,9.39026634227957e-13,4.02843847169265e-09,0,0,0,0.225834096254155,0.18139236043465,0.569916499324248,0.228363580942506,207,94,495,204,699
"2",2,0.400905535054608,-0.0147579420621595,1.99141824392017,1.54913496214068,0.898550693275559,0.847005520757569,1.74634982586311,1.47433265502945,1.67145023032691,0.0257055998568153,0.0355310788075016,0.0103243110257546,0.0223404450185041,0.00990910480784278,0.848168643355203,0.777365885963012,1.72611454808744,1.43054618739458,1.65202874178451,0.948932743195915,0.916645155552127,1.76658510363878,1.51811912266431,1.69087171886932,0,0,0,0,0,0.383545576089864,0.322499133648011,1.87897234993206,1.79455867872992,1.85564040180374,0.0250598758396127,0.0343082871042132,0.0102187431799433,0.0218483611025467,0.00981172250051758,0.334429121987178,0.255256126552493,1.8589439813321,1.7517366778477,1.83640977907643,0.43266203019255,0.389742140743529,1.89900071853201,1.83738067961214,1.87487102453106,0,0,0,0,0,0.210389108200683,0.0930619270680862,0.612326317980212,0.22424238414591,1093,446,2453,1008,3461
"3",3,0.372695859446495,-0.00876407840119454,1.99912763482636,1.59392065072109,0.917626622923868,0.783295323291479,1.76224121716197,1.38727661159764,1.6591541348363,0.0263274089188978,0.0352010745009535,0.0104161150630921,0.0246703644973,0.0105498466329256,0.866025849636569,0.714302485052499,1.74182600677948,1.33892358569746,1.63847681539335,0.969227396211166,0.852288161530459,1.78265642754446,1.43562963749782,1.67983145427926,0,0,0,0,0,0.333858825740515,0.365302234899462,1.84858381162401,1.84662219603429,1.84805990869215,0.0256513287652286,0.034001479022311,0.0103084971308634,0.0240743510877992,0.0104396483159268,0.283583145205071,0.298660560594638,1.82837952851278,1.79943733495103,1.82759857398167,0.384134506275959,0.431943909204285,1.86878809473523,1.89380705711754,1.86852124340263,0,0,0,0,0,0.157616932180859,0.141139470089253,0.646643814806383,0.161419387765759,1044,452,2441,1063,3504
"4",4,0.368900500596747,-0.0335658026214113,1.97241579291957,1.5610572563124,0.898597139736901,0.740600987362062,1.60483503751135,1.5986392508821,1.60293858322213,0.0228501957538718,0.0307784251622439,0.0101526062604503,0.0190575249308108,0.00916571935544487,0.853811579019622,0.680276382543203,1.58493629489166,1.56128718838324,1.58497410339306,0.94338270045418,0.800925592180922,1.62473378013105,1.63599131338097,1.62090306305121,0,0,0,0,0,0.374744068298954,0.391889044037985,1.77110145574626,1.88082115774642,1.7998390686768,0.022332816844145,0.0298111117016895,0.0100498178030413,0.0186975784880936,0.00908197483382723,0.3309725516111,0.333460338763573,1.75140417480111,1.84417457731165,1.782038725094,0.418515584986808,0.450317749312397,1.79079873669141,1.9174677381812,1.8176394122596,0,0,0,0,0,0.245134886352238,0.18511642791276,0.541988037222382,0.262752537686618,1052,442,2464,1042,3506
"5",5,0.357367706924938,-0.0431855647311326,2.00053801602902,1.58742334758141,1.05793012300785,0.461407562602639,1.84628458421535,1.17498477554352,1.66038158400024,0.0284366404636002,0.0256176485440211,0.00928465535506106,0.0267118684048554,0.0112075497071636,1.00219533185788,0.411197894087753,1.82808699411056,1.12263047551023,1.63841519021926,1.11366491415782,0.511617231117525,1.86448217432014,1.22733907557681,1.68234797778123,0,0,0,0,0,0.265956560849117,0.335898938628899,1.86318333365762,1.7164283275578,1.8227478666304,0.027649506711799,0.0249514891585958,0.00919914074125017,0.0260141813002018,0.0110830147496787,0.211764523503693,0.28699491851741,1.84515334911605,1.66544146912211,1.8010255568809,0.320148598194542,0.384802958740389,1.88121331819918,1.76741518599349,1.84447017637989,0,0,0,0,0,0.0389352129208342,0.272064963810695,0.708141612600938,0.0481079933220849,1051,442,2529,978,3507
"6",6,0.387915063608405,-0.0647840711481752,2.00035443342194,1.57373442813504,0.940399109996848,0.632414862964644,1.74581073748647,1.39121998884195,1.64868438525248,0.0258098694417857,0.0311114132536913,0.0107268225856963,0.0246294496650692,0.0106966213435639,0.889812695445267,0.571437613479267,1.72478655154995,1.34294715453937,1.62771939266283,0.990985524548429,0.693392112450021,1.76683492342298,1.43949282314452,1.66964937784213,0,0,0,0,0,0.344397355203809,0.363043094693018,1.85992303767358,1.88468766136488,1.86638801266939,0.0251591943978918,0.0301331029386737,0.0106111227715665,0.024029213813843,0.0105822259967557,0.295086240303899,0.30398329819078,1.83912561920578,1.83759126771294,1.84564723083948,0.393708470103719,0.422102891195257,1.88072045614139,1.93178405501683,1.88712879449929,0,0,0,0,0,0.150692281728238,0.22998263007591,0.608782713713768,0.14262672645304,1080,416,2507,997,3504
"7",7,0.373272567719182,-0.0635334688987406,1.99494266939177,1.56830417565053,0.899727950684391,0.564712449277783,1.72672009736246,1.55377325503678,1.67681314748894,0.0270532920614454,0.0314137599033542,0.00995329452678368,0.0222009946078094,0.010026871699729,0.846704472580715,0.503142611248221,1.70721199856245,1.5102601051845,1.65716084007987,0.952751428788068,0.626282287307346,1.74622819616248,1.59728640488905,1.69646545489801,0,0,0,0,0,0.243045493525502,0.329098373713869,1.83982711453292,2.24422589931293,1.94580906095367,0.0263209161780101,0.0303439173123888,0.00985360144307528,0.0217078249394403,0.00992633733774717,0.191457445776505,0.269625388631725,1.82051441058648,2.20167934424893,1.92635379727329,0.2946335412745,0.388571358796012,1.85913981847936,2.28677245437693,1.96526432463405,0,0,0,0,0,0.146704519028282,0.259295459972351,0.617372580744653,0.185700882511255,1070,442,2541,947,3488
"8",8,0.391277238662755,-0.0261482774933966,1.98562097297623,1.54155436810382,0.794589939025695,0.84692355707421,1.64553008427988,1.7750665330056,1.68249683120793,0.0245362245462834,0.0371073469707015,0.010722354072921,0.0178793818840229,0.00931082631814638,0.746499822598392,0.774194493449804,1.62451465646747,1.74002358844707,1.66424794695806,0.842680055452998,0.919652620698616,1.66654551209229,1.81010947756412,1.70074571545781,0,0,0,0,0,0.212519331436364,0.163244167167552,1.87950715288663,1.96085068257423,1.90238067533725,0.0239161840504631,0.0357353703507875,0.0106078442684038,0.0175515037847103,0.00922429091505604,0.165644472049825,0.0932041283058079,1.85871616016695,1.92645036728168,1.88430139736082,0.259394190822903,0.233284206029296,1.90029814560631,1.99525099786678,1.92045995331368,0,4.92071828572804e-06,0,0,0,0.31350500074678,0.114017097037825,0.509343003139655,0.337928919433903,1035,464,2525,976,3501
"9",9,0.366123368141649,-0.0551573837132251,1.99556929901902,1.59514191859357,1.01307931055097,0.541368500814539,1.80908181074152,1.24041016389801,1.65208523957768,0.0277234226637042,0.0287981952481512,0.0102036824557162,0.0265104612475844,0.0113177410322011,0.958742400601931,0.48492507530841,1.78908296061864,1.1884506146392,1.62990287476822,1.06741622050001,0.597811926320668,1.82908066086441,1.29236971315682,1.67426760438715,0,0,0,0,0,0.421492764745006,0.3583990896343,1.86657047643425,1.60205511636828,1.7936160302734,0.0269718835644023,0.0279255565689232,0.0100979858423817,0.0258233653047286,0.0111910095698873,0.36862884436357,0.303666004510974,1.84677878786678,1.55144225041139,1.77168205456577,0.474356685126443,0.413132174757625,1.88636216500171,1.65266798232517,1.81555000598102,0,0,0,0,0,0.0735512775962746,0.243772257582665,0.675507251114383,0.0795871184944213,1054,460,2503,983,3486
"10",10,0.379034043355484,-0.0555950901229379,1.99650402153522,1.60523812134092,0.70916845582931,0.7060947259831,1.73122748465759,1.70400373363796,1.72285979197576,0.0286604548381423,0.0405722864378477,0.011137815863621,0.0214219606477874,0.0102893950862307,0.652994996566014,0.626574505794475,1.70939776669846,1.66201746229006,1.70269294818404,0.765341915092606,0.785614946171724,1.75305720261673,1.74599000498586,1.74302663576747,0,0,0,0,0,-0.0519377971185801,0.339667330002523,1.9708757780491,1.98771323929362,1.97533399010218,0.0278293003065985,0.0388908942984929,0.0110117568187348,0.0209664372431359,0.0101830047345117,-0.106482223434463,0.263442577850923,1.94929313127786,1.94661977741296,1.95537566756814,0.00260662919730242,0.415892082154123,1.99245842482033,2.02880670117429,1.99529231263623,0.0619995356638741,0,0,0,0,0.236549347347114,0.149933213674343,0.571952724618704,0.246969701963894,1050,453,2489,1008,3497
