"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,0.396660355665714,0.41883117702246,2.00110123997022,1.99086660326105,1.60632191463775,1.61192309575344,1.86304639973049,0.0388044334204987,1.81394918536469,1.913165664402,1.84153048060342,0.0318028414710533,1.80284933999248,1.87870449935692,1.8484997206928,0.0190188838043885,1.82683613719911,1.86704423297826,1.86554674716111,0.0163749721201611,1.85019261613828,1.88883652205359,0.459394394383332,0.0228260009323212,0.424182386303055,0.475851883291797,0.467182933963269,0.0253687749624373,0.440488659800987,0.503654738343829,1.80884713501891,0.0210224964887696,1.7810125431844,1.83134856305104,1.85282806280252,0.0145446501824869,1.83267367186794,1.86396503898072,0.612460167328675,0.725138173805231,0.641181795140304
"2",2,0.400905535054608,0.369896332365657,1.99141824392017,2.0000117766711,1.54913496214068,1.55417532355665,1.78483234229586,0.051313388081843,1.72276008501032,1.8527002604701,1.78483016043433,0.050405196885785,1.71956662675987,1.84646738798249,1.89207583579608,0.0338681214769739,1.85814888478973,1.93753287831242,1.90507057597974,0.0295371952611562,1.88010444915677,1.94873329769628,0.433257393018713,0.0559838913519708,0.367546444758656,0.500687512762049,0.464396806989082,0.0510671893402668,0.40797209565071,0.516334126905897,1.79559793779088,0.0168821278322751,1.77280525904841,1.81286116986207,1.85839821361053,0.0176067831892585,1.84331879587743,1.88422459055842,0.650980871298919,0.727687361301171,0.619278447034027
"3",3,0.372695859446495,0.364810614993195,1.99912763482636,2.00977801088259,1.59392065072109,1.63173245794442,1.7852909967185,0.0648175227241708,1.6964103298509,1.85512251853366,1.78728463205106,0.0378897553270976,1.73124608860178,1.81855957213184,1.90133078103641,0.0544838383236678,1.83660028510751,1.95866665831178,1.91450946633586,0.0212532860292564,1.89299153577342,1.93847179429645,0.460655494264486,0.0396790906989816,0.417654181154617,0.517261945590645,0.477155429099902,0.047561638304157,0.415592035232218,0.537343345540787,1.77939070322171,0.0237624445482817,1.75681386236989,1.80727103533038,1.85954532603449,0.0201264438994577,1.82970430678074,1.87862117870364,0.615682222969093,0.718439261826825,0.664209095923982
"4",4,0.368900500596747,0.380331696404044,1.97241579291957,1.95197941259681,1.5610572563124,1.56783059329187,1.79517495060874,0.029758595623768,1.75142415595916,1.82468674487042,1.77916564977498,0.0217720387427924,1.74816530949915,1.80302080153773,1.82424333365091,0.0531039322820355,1.76229546720253,1.87591324253629,1.84785915347352,0.0296825872270635,1.81407014862309,1.87958250897801,0.420589342884672,0.0174157902160674,0.402112805360599,0.445131317026256,0.440976832904956,0.0195797678598209,0.418433847856095,0.466973259443701,1.77253593055208,0.0220232346183405,1.7539728207451,1.80276138345999,1.82127839018233,0.0164227782381699,1.80297087022245,1.84309162541301,0.638566338071122,0.717254954044766,0.628287226835832
"5",5,0.357367706924938,0.378922929464187,2.00053801602902,2.00461053971553,1.58742334758141,1.55846162022934,1.79480193107089,0.0711651216086773,1.72961680610647,1.88601533890101,1.81121276438246,0.0548874974254651,1.76419528137613,1.88002665509513,1.88664471923649,0.0391367073475745,1.82527284045401,1.91090587072731,1.89198000393997,0.025313338417642,1.86253296802018,1.92462662354046,0.452383306079911,0.0262958297778711,0.421361584823539,0.480201807228222,0.481939651054825,0.0170713535472604,0.456805224904266,0.49774668393374,1.81141759916049,0.0318081296174745,1.78358048994171,1.8596074863987,1.86098819649216,0.0177362729716779,1.84233097630831,1.88384942423921,0.648869225286482,0.725021835940684,0.621709968185909
"6",6,0.387915063608405,0.381830071182116,2.00035443342194,2.02378401169754,1.57373442813504,1.54677431779927,1.81111331754219,0.0322172692650668,1.770747158116,1.85098231174462,1.80641826627295,0.0237002355357537,1.78002798970189,1.83988699169332,1.89572898706425,0.0410742202464612,1.85728372069438,1.9559976143529,1.90485783544468,0.0273302640504826,1.86962523419742,1.9357801060529,0.492703964307362,0.0304289077115228,0.464060615360497,0.538067896059815,0.514923183610044,0.0256714553039827,0.484510582475086,0.546080368004783,1.81775259448807,0.0350014268332601,1.78533851986269,1.8699058237409,1.86951550196297,0.0230037057714692,1.84222591074906,1.89881611693599,0.609348663569451,0.737481177773834,0.616020002222635
"7",7,0.373272567719182,0.367723462493098,1.99494266939177,1.99928461701512,1.56830417565053,1.53460041415168,1.81819782638636,0.0609862359779327,1.74714567321117,1.89662759103584,1.81583381189283,0.0556937292758596,1.74203827831266,1.87176423143795,1.89301242949073,0.0127085376631551,1.8757816166903,1.90661759650545,1.89344390653496,0.0202269902863006,1.87661716351666,1.9241960874351,0.462947781574217,0.026323128401885,0.438394378395428,0.492207603529748,0.47865794604738,0.0327752742680694,0.436991364931433,0.511958594969676,1.82018869027339,0.0300334722600989,1.77912337739378,1.84892119686586,1.86243466169421,0.030017215845252,1.82206211681551,1.89576403540455,0.668449289053368,0.719832174780695,0.646300297582388
"8",8,0.391277238662755,0.401230946132195,1.98562097297623,1.97968537990838,1.54155436810382,1.54072463550069,1.79518652844867,0.0434115635382783,1.73586099722279,1.84586311379055,1.81427091360612,0.0474738661144416,1.74658295883396,1.86031953508351,1.86301846673634,0.0476340362648583,1.82956703838103,1.93638045226871,1.90201464705302,0.030226870797864,1.85650909885573,1.92729816168849,0.462333572408264,0.0244569975795187,0.428625913984497,0.485038405555318,0.492117223898453,0.0275761351706739,0.455369164811722,0.51981953116175,1.79456874642593,0.00603346987344002,1.78678556882227,1.8017821171075,1.86926974935627,0.0272260220354781,1.82863637775099,1.89376144505339,0.633618743350287,0.745599032883713,0.62480231629633
"9",9,0.366123368141649,0.412105705887846,1.99556929901902,1.97858502012767,1.59514191859357,1.62943319564901,1.84684361952515,0.0520837502057232,1.77766759722316,1.90810094627228,1.83530434195303,0.0563598288621249,1.75917077371825,1.89846812096641,1.90001892074164,0.023903352627398,1.87627489592769,1.93267744842955,1.90512242778682,0.0196221007137947,1.87729643836306,1.9200332281091,0.42816834891509,0.0417760412270042,0.381921339321457,0.479999085250276,0.457107886046621,0.0390635923212499,0.407149497459658,0.493393577707922,1.83458529940049,0.0221337396912839,1.79984543764556,1.84838472334693,1.87598520888069,0.0212026497693467,1.85740532443019,1.90768319103444,0.65146862052792,0.720845852033524,0.633828767793378
"10",10,0.379034043355484,0.390287658855391,1.99650402153522,2.00927125452201,1.60523812134092,1.60228275340186,1.84487283695969,0.0658772052371478,1.7743587170752,1.92805532015569,1.83314614455615,0.0594447785816246,1.76979009494405,1.89949506941295,1.88327045366624,0.0462325315054604,1.85085713623174,1.95338175063312,1.88538757591774,0.0159798973320121,1.86569873220177,1.9047329613874,0.498083297142748,0.0340897187794921,0.460593256627817,0.543403029759975,0.520654774348112,0.0335594826100576,0.48037736677491,0.565814861297513,1.82881889166339,0.0344564628171298,1.78427521087036,1.86991142863873,1.86451810665444,0.0224507542343382,1.83466281965291,1.89072738558324,0.647641048786245,0.714145202991053,0.632698532562904
