"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-2.825,2.775,0.767781065088757,4.18916666666667,0.831158947672025,NA,0.722393248646133,2.1985112904158,0.861894272534919,0.805061778637936,NA,0.169528097504197,0.531573209465008,0.162958248752818,-0.746733143788086,NA,0.390124283170312,1.15664694471802,0.542501973995677,2.40905103913214,NA,1.05466221412195,3.24037563611358,1.18128657107416,0.301877113146341,NA,2.03331523533912e-05,3.53630887727219e-05,1.22953499159806e-07,-2.75601979915545,2.68840495754142,0.677342615013078,4.10559567154218,1.06336574738365,0.441258337381637,NA,0.144946014136736,0.345475052096405,0.140116765070436,-3.62087024830148,NA,0.393253647602442,3.42847701187612,0.788741934215332,-1.89116935000942,NA,0.961431582423713,4.78271433120823,1.33798956055196,4.21584545051701e-10,NA,2.96733122073789e-06,0,3.21964677141295e-14,0.108364908202565,0.0593503218704761,0.886225579078253,0.252684609291824,22,4,338,36,374
"2",2,-2.39758620689655,-0.266315789473684,0.678848780487805,3.31714285714286,-0.535050595427403,-0.28316883741247,0.544764558967714,1.3174414590898,0.613616431108202,0.399185077865853,NA,0.0966556848091548,0.411460305286964,0.0953537768651415,-1.31743897121029,NA,0.355322897840716,0.510994079659492,0.426726462662656,0.247337780355486,NA,0.734206220094713,2.1238888385201,0.800506399553748,0.180129241615566,NA,1.73908325518113e-08,0.00136539694334337,1.23346555191972e-10,-2.30630483176181,-0.108956224264824,0.534996895016963,3.34543713698922,0.789119065508636,0.284457507092667,NA,0.0881357031996735,0.290967841550798,0.0870503153863825,-2.86383130079549,NA,0.362254090993492,2.7751506468903,0.618503582508473,-1.74877836272814,NA,0.707739699040435,3.91572362708814,0.959734548508798,4.44089209850063e-16,NA,1.27791222048756e-09,0,0,0.333580170887501,0.025673208529733,0.871972117696596,0.232600011811579,58,19,1025,98,1123
"3",3,-3.0426,0.291052631578947,0.755236220472441,2.93539130434783,-1.78039591608523,-0.0810884472671778,0.272590497819467,1.97682906997296,0.634064818157362,0.399954141678704,1.49753852366122,0.121810954890387,0.315299367582437,0.108502730007854,-2.56429162924311,-3.01621001910444,0.0338454133118752,1.35885366516313,0.421403375117696,-0.996500202927337,2.85403312457009,0.511335582327059,2.5948044747828,0.846726261197029,8.52724789290882e-06,0.956817392804436,0.0252330598048713,3.61769281198576e-10,5.10329867253745e-09,-3.39882005520081,0.219560115129227,0.624835559980626,2.97534996481416,0.903853456957269,0.280615083423666,0.56715947447335,0.107141997372337,0.236721063582829,0.0974639601639495,-3.9488155122299,-0.892052028329202,0.41484110389916,2.5113852058098,0.712827605245281,-2.84882459817173,1.33117225858766,0.834830016062092,3.43931472381853,1.09487930866926,0,0.698665623681378,5.48177125914151e-09,0,0,0.448128996101104,0.00591146927077638,0.661425206276372,0.481717346879177,50,19,1016,115,1131
"4",4,-2.57857142857143,-0.194666666666667,0.809439439439439,2.76764227642276,0.0679064007174185,0.460164126112083,0.831102950518752,1.07866027211087,0.857259602300528,0.377339739936972,1.40142877183626,0.0992560848281867,0.321169294467329,0.0950488627990818,-0.671665899494757,-2.2865857935852,0.636564599009054,0.449180022014771,0.670967254442838,0.807478700929594,3.20691404580936,1.02564130202845,1.70814052220698,1.04355195015822,0.857183261121183,0.742644351983391,0,0.000783550713381986,0,-2.66419371408969,-0.064377974208093,0.811396128759273,2.76894166426902,1.04200625929145,0.273306355670191,0.564094125018984,0.0902929803073043,0.242774598060437,0.0867982523862537,-3.19986432794915,-1.16998214313594,0.634425139300172,2.29311219570938,0.871884810693372,-2.12852310023022,1.04122619471975,0.988367118218374,3.24477113282867,1.21212770788952,0,0.909137675635307,0,0,0,0.103359364404539,0.0552590287454421,0.880100087477875,0.220239341281088,63,15,999,123,1122
"5",5,-2.0031746031746,0.67375,0.791445427728614,2.69192307692308,-0.897047723245852,0.507056963644053,0.62575853094462,1.70780857881196,0.732406729169558,0.436665782223086,NA,0.0986582382743502,0.363356271870337,0.0954323718306863,-1.75289692968411,NA,0.432391937148722,0.995643372389356,0.545362717422178,-0.0411985168075921,NA,0.819125124740517,2.41997378523456,0.919450740916938,0.0399455113907738,NA,2.2578883207558e-10,2.60041955413293e-06,1.66533453693773e-14,-2.14362636721576,0.638186748388726,0.647751257181242,2.66470702661602,0.817197405832944,0.302033385858884,NA,0.0897612231622909,0.265276125289073,0.0871111013175508,-2.73560092562786,NA,0.471822492574889,2.1447753750911,0.646462784596925,-1.55165180880366,NA,0.823680021787594,3.18463867814094,0.987932027068963,1.2720935416155e-12,NA,5.33906252542238e-13,0,0,0.40568685510148,8.83639167825615e-05,0.818010302378355,0.403356350950948,63,16,1017,104,1121
"6",6,-3.00811320754717,2.34090909090909,0.668060724779628,2.83234782608696,-0.2381075525996,0.548725407044402,0.780094546873376,1.87249174784406,0.902776254205126,0.41526090814845,1.51883225302495,0.0999648124699124,0.334352787990972,0.0963839782963436,-1.05200397675796,-2.42813110744233,0.584167114711047,1.2171723252512,0.713867128057602,0.575788871558757,3.52558192153113,0.976021979035705,2.52781117043692,1.09168538035265,0.566378865714808,0.717889311138459,5.99520433297585e-15,2.13922723979465e-08,0,-2.92728605682631,2.30610282147223,0.760279303412673,2.93399765324184,0.960842068555082,0.291401440899512,0.572274562031161,0.0908547674096695,0.249712490974523,0.0879013791051001,-3.49842238603243,1.18446529062273,0.582207231465957,2.44457016444199,0.788558531317685,-2.35614972762019,3.42774035232174,0.938351375359388,3.42342514204169,1.13312560579248,0,5.58447530963901e-05,0,0,0,0.328922648374207,0.014774690676943,0.839051608771604,0.361819572085254,53,11,1021,115,1136
"7",7,-3.54307692307692,-0.877777777777778,0.729404878048781,3.69885964912281,-1.20229250406027,0.359005281094463,0.885515460525512,2.32362464284612,1.03432471946095,0.513696651645087,2.19431615260314,0.0981225201161812,0.323402285511191,0.0950990525888596,-2.20911944026346,-3.94177534870219,0.69319885502549,1.68976781072625,0.847934001422903,-0.195465567857085,4.65978591089111,1.07783206602553,2.957481474966,1.22071543749899,0.0192593951093523,0.870040606122707,0,6.72351063712995e-13,0,-3.50167982806033,-0.766775525922004,0.84441060058573,3.73894105599301,1.13816872204439,0.338002634911497,0.659594520405599,0.0893540304983158,0.243902874672141,0.0868381108167358,-4.16415281916651,-2.05955703031695,0.669279918935537,3.26090020590983,0.967969152358086,-2.83920683695416,0.52600597847294,1.01954128223592,4.21698190607619,1.30836829173069,0,0.24503433514945,0,0,0,0.327560625690668,0.0156379858268453,0.85604060880359,0.467228761306407,52,9,1025,114,1139
"8",8,-1.822,2.77117647058824,0.747888015717092,2.85028571428571,1.37968755143085,2.23915701725621,0.746095964806844,1.86950893767684,0.853688844395711,0.410149965774444,1.6761340109739,0.0954446702239568,0.366461538880942,0.0936200006753241,0.575808390252601,-1.04600527751531,0.559027848651587,1.15125751975106,0.67019701483946,2.18356671260909,5.52431931202772,0.933164080962102,2.58776035560261,1.03718067395196,0.000768601906279587,0.181580090232954,5.32907051820075e-15,3.36945795598176e-07,0,-1.78300065228956,2.72899467126596,0.70705735627332,2.94236737530794,0.919282886030822,0.290057506302581,0.58513521086741,0.0871276306423429,0.267652928500699,0.0856043753312428,-2.35150291808812,1.58215073187959,0.53629033815602,2.4177772750899,0.751501393462537,-1.214498386491,3.87583861065234,0.877824374390621,3.46695747552599,1.08706437859911,7.89326937145063e-10,3.10317162433016e-06,4.44089209850063e-16,0,0,0.0721569208082263,0.0664622011689453,0.89388556617075,0.223514590196455,60,17,1018,105,1123
"9",9,-1.40375,1.750625,0.557464251668256,3.50042105263158,-0.744877805877107,0.938903439504598,0.678646722157443,2.51852807618887,1.16087113568347,0.361122942362893,NA,0.125345818261561,0.266519350220549,0.107184032963701,-1.45266576689951,NA,0.432973432752081,1.99615974857357,0.950794291356858,-0.0370898448547026,NA,0.924320011562805,3.04089640380416,1.37094798001007,0.0391439008820653,NA,6.15649911051008e-08,0,0,-1.41878338959234,1.83309031557485,0.489487794504419,3.36458270975785,0.797802244875973,0.255714893844268,NA,0.110544031053417,0.205256107205218,0.0965592074035103,-1.91997537183759,NA,0.272825474933845,2.96228813202873,0.60854967598936,-0.917591407347089,NA,0.706150114074993,3.76687728748697,0.987054813762587,2.88457742136927e-08,NA,9.51155877226828e-06,0,2.22044604925031e-16,0.406519275993798,0.000126033733430997,0.483267790107584,0.51052542315268,40,16,1049,95,1144
"10",10,-2.82186440677966,-0.185294117647059,0.739577603143418,2.4427358490566,-0.540841868136611,-0.535305079540227,0.579367276769349,0.828588238773426,0.610236064216516,0.367616531729111,1.37988252344955,0.100815949591617,0.357631313746849,0.098056207036447,-1.26135703044719,-3.23982512839759,0.381771646502574,0.127643744085859,0.418049429964477,0.179673294173972,2.16921496931714,0.776962907036123,1.52953273346099,0.802422698468555,0.141233781702111,0.698063947002926,9.09579167540642e-09,0.0205103608571369,4.86714446523706e-10,-2.75278928659578,-0.528497573870522,0.583266680769178,2.49252886557161,0.796353978180163,0.267537171394727,0.560786575169655,0.0915818962768077,0.263128269659031,0.0892983144697817,-3.27715250705516,-1.62761906421661,0.403769462430752,1.97680693372556,0.621332497939259,-2.22842606613639,0.570623916475567,0.762763899107604,3.00825079741765,0.971375458421067,0,0.34597665716847,1.90514271025677e-10,0,0,0.243733327278189,0.0573741538184071,0.863047858779022,0.274117425600802,59,17,1018,106,1124
