"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-2.00480769230769,0.42921568627451,0.733096446700508,2.9721,1.4869696969697,-0.148184718962829,0.87279757157083,0.839699069820403,1.64313237004457,1.11077301976167,0.348425668917153,0.581086790142102,0.225413892183874,0.321974121845293,0.187023183916558,-0.831086481329725,-0.266111608999674,0.397895959525016,1.01207468727388,0.744214315011204,0.534717043404068,2.01170675214133,1.28150218011579,2.27419005281525,1.47733172451213,0.670619495645093,0.13309479207286,0.00019520423287589,3.33771187466247e-07,2.86370271940228e-09,-1.98604118952981,0.635330872098835,0.884516351959364,3.10457430506275,1.70531242617012,0.257953601227593,0.363202963120108,0.183773234246613,0.243241191842731,0.157454262297106,-2.4916209576183,-0.0765338546948058,0.524327431513559,2.6278303294944,1.39670774285547,-1.48046142144132,1.34719559889248,1.24470527240517,3.5813182806311,2.01391710948477,1.37667655053519e-14,0.0802487238224352,1.48617412509822e-06,0,0,0.19856974163391,0.165292487482711,0.523887428706903,0.214350869035009,52,51,197,100,297
"2",2,-1.95486111111111,-0.0122388059701493,0.73644513137558,2.48523636363636,1.25804772234273,-0.645454494299469,0.332484051885181,0.472629938348096,1.43466573640831,0.79495795200875,0.224804362329877,0.391619546844883,0.124263982205241,0.190724559931599,0.10564723253048,-1.08606294803352,-0.435076155572686,0.229077008650298,1.06085246797512,0.58789318118268,-0.204846040565418,1.10004425934305,0.716182868045894,1.80847900484149,1.00202272283482,0.00408938531813352,0.395882632713808,0.000142703638920993,5.38458166943201e-14,5.28466159721575e-14,-1.93205084818458,0.0554588519344713,0.451733055365318,2.33804297308285,1.0089137507169,0.183333168679437,0.279828319950001,0.110467883873184,0.160091006408558,0.0955308447374675,-2.29137725596788,-0.492994577021881,0.235219981525523,2.0242703662733,0.821676735618774,-1.57272444040127,0.603912280890824,0.668246129205112,2.65181557989239,1.19615076581502,0,0.842897313651921,4.32732036454997e-05,0,0,0.234560089631224,0.0804827698898002,0.505655692578061,0.333527869008904,144,134,647,275,922
"3",3,-1.78929824561404,-0.124233576642336,0.805109983079526,2.67594684385382,1.43641255605381,-0.393697108225808,0.0890574116578418,0.50766853939031,0.853965245669758,0.638410800853362,0.219022809954112,0.293949716410389,0.130343057458823,0.169701072275269,0.104141795912145,-0.822973927528629,-0.487073445772282,0.252200841136182,0.521357255872402,0.434296631580238,0.0355797110770119,0.665188269087966,0.763136237644437,1.18657323546711,0.842524970126486,0.0722536658073019,0.761914108529222,9.82536639577702e-05,4.84949966295112e-07,8.77646177954716e-10,-1.97618116671993,-0.294714797896923,0.423037160108007,2.51995551613227,1.18335166795052,0.179537409450699,0.22674073866588,0.115295522617674,0.145040627954846,0.0943093978831047,-2.32806802312092,-0.739118479510056,0.197062088198642,2.2356811090457,0.99850864469598,-1.62429431031894,0.149688883716211,0.649012232017372,2.80422992321884,1.36819469120507,0,0.193673780585278,0.000243353367231025,0,0,0.12526385942191,0.216035348210711,0.541190920636809,0.205179526203869,171,137,591,301,892
"4",4,-2.37011627906977,0.556776315789474,0.768327702702703,2.99950704225352,1.49167808219178,-0.208045252910309,0.638831812777086,0.838180153116297,1.62467742688139,1.11989560351387,0.22326673313225,0.321277358711671,0.128014216941773,0.173692842568963,0.10407830964429,-0.645640008795435,0.00913976065405386,0.587276898401324,1.28424571107383,0.915905865039254,0.229549502974816,1.26852386490012,1.08908340783127,1.96510914268894,1.32388534198849,0.351427599116099,0.0467661229742657,5.84865489372532e-11,0,0,-2.50026644012138,0.535413744131141,0.817353845311912,2.95176891308235,1.61088777868233,0.182351015381441,0.24254819686461,0.113474559999296,0.147942113962855,0.0942625984341464,-2.85766786281331,0.0600280137613756,0.594947794551763,2.66180769791843,1.42613648066224,-2.14286501742944,1.01079947450091,1.03975989607206,3.24173012824626,1.79563907670242,0,0.0272824273130789,5.89084336866108e-13,0,0,0.148087351026916,0.170323934699848,0.54895071516292,0.240138873895263,172,152,592,284,876
"5",5,-1.29186335403727,0.534466666666667,0.71822445561139,2.28931506849315,1.23426321709786,-0.427836824539922,0.407039257818359,0.617932447343995,1.5768042038224,0.98530895498247,0.228665622747743,0.330426329883335,0.130410663911826,0.174636346983648,0.106251895042823,-0.876013209627922,-0.240584448296728,0.362332242876858,1.23452325334281,0.777059067409407,0.0203395605480785,1.05466296393345,0.873532651811131,1.91908515430199,1.19355884255553,0.0613429932156866,0.218001070067701,2.15456644703238e-06,0,0,-1.39382599860482,0.495140818805962,0.603759001390377,2.18485522485725,1.19269081617166,0.18594195896008,0.247523758426923,0.115337550176978,0.148625521934286,0.0960250409429451,-1.7582655413814,0.0100031669712006,0.377701556978418,1.89355455468258,1.0044851943095,-1.02938645582823,0.980278470640724,0.829816445802335,2.47615589503192,1.38089643803382,6.57252030578093e-14,0.0454595763750152,1.65241200056343e-07,0,0,0.269569237848891,0.0878047022089685,0.435281089934172,0.393018268862779,161,150,597,292,889
"6",6,-1.35855072463768,0.142567567567568,0.450095087163233,2.67314487632509,1.13841356673961,-0.807468430842986,0.674308127136626,0.582638699539387,1.92936393990358,1.10431470248351,0.225729443272959,0.362421438771001,0.131622451531033,0.174727649258033,0.107926917992812,-1.24989000990826,-0.0360248400797244,0.324663434981693,1.58690404025449,0.892781830255194,-0.36504685177771,1.38464109435298,0.84061396409708,2.27182383955267,1.31584757471183,0.000347358786323637,0.0628058329572421,9.57342071816747e-06,0,0,-1.27447450884893,0.149795327902461,0.312279913252912,2.50271200262283,1.14684410450848,0.183924716808506,0.2646429151912,0.116275995714019,0.148696435477626,0.0973856691644783,-1.63496032966033,-0.368895254635979,0.084383149386901,2.2112723444572,0.95597170033577,-0.913988688037531,0.668485910440902,0.540176677118923,2.79415166078846,1.33771650868119,4.22839541158737e-12,0.571374674837014,0.00723827530841725,0,0,0.343900067759485,0.00532815365886089,0.376733795704691,0.495663523549691,138,148,631,283,914
"7",7,-1.52062111801242,0.0477697841726619,0.518658940397351,3.04756756756757,1.35038888888889,-0.133432639297606,0.639121728313353,0.849255769303215,1.62052832039473,1.13642045699165,0.215849410851246,0.348474307325354,0.125347672518793,0.182749257478364,0.105182432707939,-0.556489710650236,-0.0438753635818827,0.603578845620461,1.2623463575357,0.930266677077779,0.289624432055024,1.32211882020859,1.09493269298597,1.97871028325376,1.34257423690552,0.536460202274451,0.0666455395849082,1.2423284623253e-11,0,0,-1.4097366570937,0.104107895559143,0.678659250499593,3.05178432133134,1.49093695930778,0.177324470075433,0.257291356033537,0.111279124893941,0.154453676260471,0.09513333190525,-1.7572862320192,-0.400173895800062,0.460556173476334,2.74906067858101,1.30447905504419,-1.0621870821682,0.608389686918348,0.896762327522852,3.35450796408167,1.67739486357136,1.88737914186277e-15,0.685749234258471,1.06927022791581e-09,0,0,0.186549979939339,0.147285305540678,0.502525975558555,0.271639523194713,161,139,604,296,900
"8",8,-1.82104294478528,1.00753731343284,0.633491803278688,2.64098976109215,1.28487264673311,-0.0434061504832048,0.916354479599994,0.764278396927101,1.7344100682598,1.1096006367231,0.217628657299843,0.33166372762688,0.125608131576314,0.1766582303948,0.103965885376587,-0.469950480794706,0.266305518473008,0.518090982872157,1.38816629911341,0.905831245764165,0.383138179828297,1.56640344072698,1.01046581098205,2.08065383740619,1.31337002768203,0.84191033917872,0.00572899101655988,1.16764165003502e-09,0,0,-1.8752224804388,1.18159390686816,0.716957788042281,2.69704194942584,1.42093804857932,0.178557790420481,0.248529517352937,0.111579360347755,0.15009374808954,0.0941651753431218,-2.225189318822,0.694485003761281,0.498266260342665,2.40286360886571,1.23637769630891,-1.52525564205561,1.66870280997504,0.935649315741898,2.99122028998596,1.60549840084974,0,1.99095418118578e-06,1.31401112213325e-10,0,0,0.184366374529256,0.133438451398061,0.531650607496498,0.296574469951207,163,134,610,293,903
"9",9,-2.33719512195122,0.635826771653543,0.735208012326656,2.74838461538462,1.31103410341034,-1.24541615616431,0.24988994548365,0.753185169125799,2.40814430363765,1.30050686442906,0.217918454567598,0.428971401567173,0.127042532349116,0.194537568168397,0.109442907524083,-1.67252847868343,-0.590878551985678,0.504186381216767,2.02685767638759,1.08600270731851,-0.818303833645192,1.09065844295298,1.00218395703483,2.78943093088772,1.51501102153961,1.09667948056114e-08,0.560207801773452,3.05516434373487e-09,0,0,-2.27509006280791,0.679677418998668,0.922392483593098,2.96090780997192,1.51200790310625,0.178632137407644,0.298278283370691,0.112487402344475,0.162740198123617,0.098582091956633,-2.6252026186083,0.0950627262216821,0.701921226283461,2.64194288281271,1.31879055335064,-1.92497750700752,1.26429211177565,1.14286374090274,3.27987273713112,1.70522525286187,0,0.0226867605650019,2.22044604925031e-16,0,0,0.370567464033793,0.00111694296901018,0.424833067368721,0.443921601570855,164,127,649,260,909
"10",10,-2.13077419354839,0.0892805755395683,0.740947712418301,2.40333333333333,1.28039735099338,-0.785122563041924,0.16004931105167,0.42889219999717,1.33823847508135,0.768776047391229,0.224559023490102,0.351655696309278,0.131582326746134,0.184182010359642,0.108223045194649,-1.22525016148601,-0.529183188672869,0.170995578572767,0.977248368176274,0.556662776512465,-0.344994964597841,0.84928181077621,0.686788821421573,1.69922858198644,0.980889318269992,0.00047178279966209,0.649015196844153,0.00111609958770842,3.7070346792234e-13,1.2152501227547e-12,-2.37675891826607,0.321221566495604,0.55567267492609,2.38461619288078,1.17080665903008,0.183099310758201,0.258553857454364,0.116151338989439,0.155400280833385,0.097616345092172,-2.73562697294625,-0.185534682178852,0.328020233750687,2.08003723925993,0.979482138346994,-2.01789086358589,0.827977815170059,0.783325116101493,2.68919514650162,1.36213117971317,0,0.214097211256868,1.71806300208743e-06,0,0,0.238107796246775,0.117235476245327,0.486958600138394,0.29750205947175,155,139,612,294,906
