"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-1.15767123287671,1.26375,0.903670212765957,2.34318681318681,1.37318996415771,0.644562245303671,1.06775017614398,0.739760015936209,1.23886635943769,0.921739778351372,0.354393766660238,0.499331007013214,0.236176289331111,0.335361269955344,0.194135477514232,-0.0500367736958868,0.0890793860339673,0.27686299484492,0.581570348515602,0.541241234301992,1.33916126430323,2.046420966254,1.2026570370275,1.89616237035978,1.30223832240075,0.0689458835548966,0.0324874187228816,0.00173480015635474,0.000220645486937343,2.05518967799634e-06,-1.08270580782951,1.08321600723437,0.755630846603024,2.41261732531077,1.36481705201028,0.261292250680273,0.331557827585484,0.190949498394624,0.250914128233808,0.162548055071307,-1.59482920860225,0.433374606374476,0.381376706883571,1.92083467076024,1.04622871831349,-0.57058240705676,1.73305740809425,1.12988498632248,2.90439997986129,1.68340538570708,3.41808906725305e-05,0.00108674477198023,7.58243096115052e-05,0,0,0.111675603024446,0.265695283410056,0.56175073830011,0.125625819164592,73,48,188,91,279
"2",2,-0.567118644067797,0.912896551724138,0.634866785079929,2.034453125,1.07234432234432,0.274327726557076,0.853204553625719,0.427986967125809,0.974274081451264,0.611295960986253,0.20584578829779,0.32480314726467,0.131977150375122,0.20346189728411,0.111520171659763,-0.129122604875848,0.216602082921707,0.169316505608344,0.575496090548222,0.392720440983392,0.67777805799,1.48980702432973,0.686657428643274,1.37305207235431,0.829871480989113,0.182634986966201,0.00861828959542155,0.0011832518733963,1.68045787340976e-06,4.21774490888538e-08,-0.330677150858194,0.889013469826712,0.351480527214193,1.88945674722513,0.877020140082251,0.170627854737686,0.244801762412785,0.116568298186439,0.168986804091682,0.100325690177738,-0.665101600903391,0.409210832145723,0.123010861029647,1.5582486973429,0.68038540060976,0.00374729918700273,1.3688161075077,0.579950193398739,2.22066479710735,1.07365487955474,0.0526229591458414,0.000281707871299997,0.00256782290039437,0,0,0.170049944375052,0.180083847258494,0.532172824753603,0.204328821998441,236,145,563,256,819
"3",3,-0.742463768115942,0.779803921568627,0.596351118760757,2.49494208494208,1.18175,-0.855749662839567,0.454328228387876,0.430711251291827,1.82404286600475,0.973019135693613,0.208255931598346,0.316702370886012,0.152024613117754,0.185394339520468,0.119540182232563,-1.26392378833916,-0.166397012367154,0.132748484817393,1.46067663760704,0.738724683812435,-0.447575537339972,1.07505346914291,0.728674017766261,2.18740909440246,1.20731358757479,3.97161004898061e-05,0.151412812335093,0.00460891732737534,0,4.44089209850063e-16,-1.11307805409894,0.883955882302567,0.285298209531264,2.12468515797034,0.906504340620868,0.172216533394236,0.239565716435792,0.131565749219068,0.156305021021979,0.106668321767324,-1.45061625709399,0.414415706157879,0.0274340794628631,1.81833294616449,0.697438271665584,-0.775539851103902,1.35349605844726,0.543162339599666,2.43103736977619,1.11557040957615,1.02479580377235e-10,0.000224407219874934,0.0301218879621874,0,0,0.418644538092067,0.001390988911047,0.222467442668826,0.451387348004802,207,153,581,259,840
"4",4,-0.398506787330317,0.608,0.499109090909091,2.40200668896321,1.16926972909305,-0.170290184191505,0.99414644559448,0.759026552051566,1.8216148425501,1.14514607108848,0.227768022755312,0.339417568134103,0.136763422496576,0.187494633791864,0.112127645686012,-0.616707305621816,0.328900236331468,0.490975169555842,1.45413211302352,0.925379923872623,0.276126937238806,1.65939265485749,1.02707793454729,2.18909757207668,1.36491221830433,0.454672828512111,0.00340078956621337,2.85794394816463e-08,0,0,-0.425188320915826,0.680248992336302,0.478746204864737,2.3091432172232,1.16433660525342,0.185430268990983,0.252610898626052,0.120263646019944,0.157841934162748,0.100801795940236,-0.788624969781728,0.185140728926941,0.243033790016172,1.99977871101407,0.966768715633601,-0.0617516720499238,1.17535725574566,0.714458619713302,2.61850772343233,1.36190449487324,0.0218490251700073,0.00708393111558236,6.86820803685873e-05,0,0,0.386923377168998,0.0129017075881428,0.345149672085808,0.424412488031866,221,130,550,299,849
"5",5,-0.738442211055276,0.637234042553191,0.732605633802817,2.09047945205479,1.1936511627907,-0.54096064221611,0.40554220169028,0.602224609283597,1.55958450932251,0.949395121814377,0.223519351586041,0.328324732713355,0.134712250797412,0.18099085733704,0.109489123491735,-0.979050521172497,-0.237962449661635,0.338193449444343,1.20484894741088,0.734800383071718,-0.102870763259723,1.0490468530422,0.866255769122851,1.91432007123413,1.16398986055704,0.0155121432220716,0.216761188252794,7.80545739464955e-06,0,0,-1.06450690590086,0.733482151698998,0.694236389625156,1.8654967930086,1.09316338481424,0.182596087023667,0.246615611140541,0.118702624298753,0.153213162271634,0.0986711107195609,-1.42238866018519,0.250124435838202,0.461583521129211,1.56520451299871,0.899771561489339,-0.706625151616535,1.21683986755979,0.926889258121101,2.1657890730185,1.28655520813915,5.54788459616873e-09,0.00293761302190787,4.95922880539013e-09,0,0,0.346128528473076,0.0108921109172367,0.376584129890684,0.441711730664631,199,141,568,292,860
"6",6,-0.90795,1.48383647798742,0.499027303754266,2.06807843137255,0.974780023781213,-0.25261083352505,0.752643154026574,0.709931709186447,1.73917437731701,1.0843803178775,0.210926628346379,0.332268927680413,0.134154731449283,0.197142990366503,0.112929488058317,-0.666019428464419,0.101408022591222,0.446993267190209,1.35278121639413,0.863042588490653,0.160797761414318,1.40387828546193,0.972870151182686,2.12556753823988,1.30571804726435,0.231063352425137,0.0235027021965526,1.21060541813378e-07,0,0,-0.928965128354663,1.42167942764559,0.711623494775336,2.15557909951654,1.23778184603127,0.174071751438849,0.248853885120028,0.118198374498311,0.164617079994754,0.101438289160647,-1.27013949190062,0.933934775397471,0.479958937727469,1.83293555148667,1.03896645262304,-0.58779076480871,1.90942407989372,0.943288051823202,2.47822264754641,1.4365972394395,9.46642105814632e-08,1.11061528862422e-08,1.73786596224801e-09,0,0,0.352876284473625,0.0441251839458249,0.365770612606652,0.397482085302477,200,159,586,255,841
"7",7,-0.645689655172414,0.782394366197183,0.532385964912281,2.7828515625,1.22986682808717,0.173573157370773,1.08480201799599,0.838938741238707,1.75856384306932,1.13461260616233,0.215016155994883,0.337681621288733,0.131183164802449,0.194167365025987,0.109945096135254,-0.247850764473444,0.422958202028977,0.581824462847924,1.37800280064534,0.919124177460438,0.594997079214991,1.746645833963,1.09605301962949,2.13912488549329,1.35010103486422,0.419518806358155,0.00131585406774182,1.6036794114882e-10,0,0,-0.526473160019494,0.712718739486036,0.642393540622823,2.94083641935742,1.37322230466491,0.176892210786553,0.251767132202896,0.115957354433413,0.162536499956185,0.0990461866187036,-0.873175522306806,0.219264227877426,0.415121302190788,2.6222707332701,1.17909534608622,-0.179770797732181,1.20617325109465,0.869665779054858,3.25940210544474,1.5673492632436,0.00291809161271139,0.00464223236422767,3.02623658354761e-08,0,0,0.227802780058634,0.115880182310204,0.498198952332081,0.268046783216272,232,142,570,256,826
"8",8,-1.05966666666667,1.46706293706294,0.674512195121951,2.28567765567766,1.193813459268,-0.14640524402194,1.03707318369286,0.695504161938305,1.8099715589719,1.10647276202931,0.211190059514931,0.314240848595067,0.133202590434902,0.182218787036363,0.109315335751265,-0.560330154564075,0.42117243797522,0.434431882038459,1.45282929907405,0.892218640998923,0.267519666520194,1.65297392941049,0.956576441838152,2.16711381886974,1.32072688305969,0.488159403694031,0.00096598929312508,1.77574386750479e-07,0,0,-1.23894126421817,1.66377651746183,0.651543778700495,2.49752617347417,1.30457338887477,0.174152552848742,0.238619083659238,0.117522164706733,0.154047447618246,0.0985285791063104,-1.58027399561741,1.19609170746578,0.421204568490114,2.19559872423209,1.11146092237849,-0.897608532818924,2.13146132745789,0.881882988910876,2.79945362271625,1.49768585537104,1.12632125848222e-12,3.11306536104894e-12,2.95625931512333e-08,0,0,0.265087884213463,0.100374761483817,0.423482800930081,0.338557957021348,210,143,574,273,847
"9",9,-0.825294117647059,0.692945736434109,0.656857142857143,2.31901960784314,1.15550588235294,0.0360662887968541,0.831885872823527,0.721983897340383,1.39457237193728,0.927976214397385,0.196329114871898,0.326966110134737,0.126541280807011,0.209737919547133,0.109496200811025,-0.348731705468693,0.191044072794286,0.473967544401073,0.983493603432541,0.71336760436381,0.420864283062401,1.47272767285277,0.970000250279693,1.80565114044202,1.14258482443096,0.854246289839453,0.0109510422491792,1.15987958126951e-08,2.94853030879949e-11,0,-0.741602756668578,0.621020499159952,0.686432546996801,2.37156100494178,1.28979835638845,0.163991670208672,0.245860265186385,0.112316581095941,0.173259729298906,0.098682197843517,-1.06302052404214,0.13914323416517,0.466296093182084,2.03197817554476,1.09638480269991,-0.420184989295011,1.10289776415473,0.906569000811517,2.71114383433879,1.483211910077,6.12008514588869e-06,0.0115399578760469,9.8645247526008e-10,0,0,0.267220751960888,0.117054159830128,0.508192332230036,0.24139235571619,221,129,595,255,850
"10",10,-0.860408163265306,1.06825396825397,0.532245989304813,2.31264925373134,1.10781664656212,0.00207321815909877,0.875374826879525,0.474397309585684,1.34566054647099,0.767107343680182,0.210010934143923,0.319202449890532,0.135794640399561,0.198374640009521,0.113393672015107,-0.409540649122603,0.24974952131713,0.208244705108976,0.956853396606226,0.544859830455825,0.413687085440801,1.50100013244192,0.740549914062392,1.73446769633575,0.989354856904538,0.992123448718669,0.00609954923866241,0.000476749638768759,1.17355014594978e-11,1.33315580796989e-11,-0.786871295392521,0.927923680897868,0.355598294756668,2.45521996310614,1.07824655357532,0.173472000280478,0.241433695727471,0.119539732519075,0.165471695901223,0.101830651998647,-1.12687016826838,0.454722332617623,0.12130472429773,2.13090139867898,0.878662143135743,-0.446872422516662,1.40112502917811,0.589891865215606,2.7795385275333,1.2778309640149,5.73275743898094e-06,0.000121346752054441,0.00293247599458246,0,0,0.227060378545491,0.143770552692925,0.48979956111778,0.254870098266918,245,126,561,268,829
