"","Sim","trued_H_01","trued_D_11","trued_I_00","trued_B_10","trued_IB_sp","ITT_H","ITT_D","ITT_I","ITT_B","ITT_IB","ITT_se_H","ITT_se_D","ITT_se_I","ITT_se_B","ITT_se_IB","ITT_lb_H","ITT_lb_D","ITT_lb_I","ITT_lb_B","ITT_lb_IB","ITT_ub_H","ITT_ub_D","ITT_ub_I","ITT_ub_B","ITT_ub_IB","ITT_pvalue_H","ITT_pvalue_D","ITT_pvalue_I","ITT_pvalue_B","ITT_pvalue_IB","delta_H","delta_D","delta_I","delta_B","delta_IB","delta_se_H","delta_se_D","delta_se_I","delta_se_B","delta_se_IB","delta_lb_H","delta_lb_D","delta_lb_I","delta_lb_B","delta_lb_IB","delta_ub_H","delta_ub_D","delta_ub_I","delta_ub_B","delta_ub_IB","delta_pvalue_H","delta_pvalue_D","delta_pvalue_I","delta_pvalue_B","delta_pvalue_IB","PCP_H","PCP_D","PCP_I","PCP_B","nH","nD","nI","nB","nIB"
"1",1,-1.08148148148148,-0.208604651162791,0.381,2.36729166666667,1.07188405797101,-0.718428811974868,0.458752592869189,0.431364311310465,1.65791317609222,0.91977549897194,0.376623354051739,0.545218639740055,0.24816555567946,0.31166031728431,0.197440526361056,-1.45659702165295,-0.609856304721238,-0.0550312400246469,1.04707017880465,0.532799178215639,0.0197393977032181,1.52736149045962,0.917759862645576,2.2687561733798,1.30675181972824,0.0564490823452597,0.40011810320928,0.0821734906649461,1.039865584751e-07,3.18531155063528e-06,-1.10644723756831,-0.125976051773938,0.208257145481902,2.27677350645729,0.863154217296504,0.273018472290198,0.351007406911359,0.198593569710432,0.237345540804239,0.164814714413284,-1.64155361037124,-0.813937927626998,-0.180979098711789,1.8115847945898,0.540123312924212,-0.571340864765374,0.561985824079122,0.597493389675592,2.74196221832478,1.1861851216688,5.06415864354182e-05,0.719670979293883,0.294334600950666,0,1.63102831463036e-07,0.353720323289102,0.0553570994091429,0.297089476408304,0.416306041324518,81,43,180,96,276
"2",2,-1.00136363636364,0.186369863013699,0.262692998204668,1.82580392156863,0.753571428571429,-0.593308504637485,0.118204851823213,0.120585833666267,0.917594970202822,0.380179089867219,0.210459668188672,0.336640776559695,0.130948581377548,0.206366458123643,0.111857449110212,-1.00580187448553,-0.541598945961384,-0.136068669660339,0.513124144663389,0.160942518208681,-0.180815134789437,0.77800864960781,0.377240336992872,1.32206579574226,0.599415661525756,0.00481573330746976,0.725490430230198,0.357121439045896,8.73072098261929e-06,0.000676866323892078,-1.19597749925928,0.407747256181055,0.136528892360555,1.45370867392606,0.534975776284119,0.173815365699739,0.251461706887991,0.115773670966391,0.170993031747953,0.10059632360692,-1.53664935599043,-0.0851086328103746,-0.090383333091562,1.11856849009275,0.33781060503742,-0.855305642528132,0.900603145172485,0.363441117812672,1.78884885775936,0.732140947530819,5.9544591479721e-12,0.104908661727336,0.238289045542865,0,1.04888128515945e-07,0.320588983453633,0.0666808268744315,0.428497060153524,0.314367371260816,242,146,557,255,812
"3",3,-1.11013100436681,0.329766081871345,0.235796064400716,2.25854771784232,0.84515,-1.17121045356957,0.237574198775823,0.0431521305888204,1.44169582156726,0.510689816617804,0.195712945937482,0.324378143665585,0.144074503793315,0.202925786753051,0.120259447638333,-1.55480077891527,-0.398195280180683,-0.239228707936557,1.04396858799682,0.274985630445992,-0.787620128223871,0.873343677732329,0.325532969114198,1.83942305513769,0.746394002789616,2.17285123227384e-09,0.463925124028627,0.764548952409448,1.2072565169774e-12,2.17070769223948e-05,-1.63964821772052,0.496904194561001,-0.0906581412616223,2.04141910298752,0.589496708791815,0.163625622521228,0.244212359312632,0.125890196801869,0.168628547803609,0.107320947504758,-1.96034854481007,0.0182567657286872,-0.337398392999944,1.71091322252716,0.379151516895776,-1.31894789063097,0.975551623393315,0.1560821104767,2.37192498344788,0.799841900687854,0,0.0418788803101349,0.471440880238308,0,3.95522864460318e-08,0.434296876873514,0.0239769322536539,0.323301275979752,0.370700483974661,229,171,559,241,800
"4",4,-1.3605306122449,0.4365625,0.401844106463878,2.06613382899628,0.964981132075472,-0.937391424451503,0.387658016490712,0.520924784874415,1.88441055813286,1.01826678797623,0.195621260608123,0.309633565695925,0.14846513920169,0.194110492221181,0.120634040981624,-1.32080204985375,-0.219212620678018,0.229938459079376,1.503960984358,0.781828412342715,-0.553980799049258,0.994528653659442,0.811911110669454,2.26486013190772,1.25470516360974,1.65234908833245e-06,0.210573638968961,0.000450243791284666,0,0,-1.42503513992832,0.431936300147021,0.679508078306707,2.23194698296755,1.23581542189151,0.163568695414229,0.23571009805629,0.129221645947799,0.162512906670349,0.107616498558037,-1.74562389193841,-0.030047002835712,0.426238306226035,1.91342753887075,1.02489096057545,-1.10444638791823,0.893919603129754,0.932777850387379,2.55046642706435,1.44673988320757,0,0.0668785117946349,1.45259305917023e-07,0,0,0.441857323495759,0.000403850035858296,0.266581139816031,0.433980140186096,245,160,526,269,795
"5",5,-0.955450236966825,-0.1295625,0.294910071942446,2.00659340659341,0.858588661037394,-0.66439696945198,0.0915676871197436,0.0765799981604112,0.805082708321781,0.350020802038294,0.207384722532398,0.303980797136527,0.13702273463815,0.184483349939128,0.110827823045622,-1.07086355655931,-0.504223727259626,-0.191979626793551,0.443501986693791,0.132802260383896,-0.257930382344648,0.687359101499113,0.345139623114374,1.16666342994977,0.567239343692691,0.00135677100663567,0.763240239665434,0.576239972468515,1.27713906186155e-05,0.00158725128675585,-1.12162134398284,-0.271862747597914,0.00993102224904686,1.76764697669323,0.629557509786923,0.171646044901014,0.232665310518409,0.120458138242736,0.155621575995996,0.0997592882984239,-1.45804141007758,-0.727878376665824,-0.226162590351463,1.46263429252371,0.434032897598664,-0.785201277888111,0.184152881469996,0.246024634849557,2.07265966086274,0.825082121975182,6.38217256820894e-11,0.24261669247716,0.93429383631374,0,2.77658007696857e-10,0.275623676534371,0.106256969640078,0.412398565637463,0.293818621941704,211,160,556,273,829
"6",6,-1.3003829787234,0.606394557823129,0.185172413793103,1.90468164794007,0.746430317848411,-0.453106841130897,0.451460696343945,0.358529023314678,1.33645659647521,0.731784702968578,0.189464540947414,0.288804892273056,0.143985259496345,0.199974096232284,0.118526091718099,-0.824450517735241,-0.114586491070214,0.0763231003971878,0.944514570018985,0.499477831972813,-0.0817631645265519,1.0175078837581,0.640734946232169,1.72839862293143,0.964091573964342,0.0167791070045786,0.118004836554969,0.0127728799583433,2.33861818799141e-11,6.6567151790764e-10,-1.09861121425314,0.56057974237761,0.291709910931057,1.92650706496227,0.835210147422379,0.159179359481287,0.223605050797459,0.125674054686619,0.16658354428656,0.10590796937538,-1.41059702591862,0.122321896053341,0.0453932899541656,1.60000931774358,0.627634341770863,-0.786625402587666,0.998837588701878,0.538026531907948,2.25300481218096,1.0427859530739,5.13766806875537e-12,0.0121757815427735,0.0202780718256061,0,3.10862446895044e-15,0.33260094328516,0.0998724008613103,0.33421045254946,0.343588867284933,235,147,551,267,818
"7",7,-1.26326271186441,0.623,0.23143109540636,2.30185483870968,0.862223587223587,-0.379873165598744,0.720373032475837,0.436974769431691,1.4932444475256,0.842579897076638,0.195652638324315,0.295002396017039,0.151674352956041,0.193139537045237,0.12024046681188,-0.763345290194641,0.142178960929418,0.139698500259435,1.1146979109262,0.606912912641069,0.00359895899715401,1.29856710402226,0.734251038603947,1.87179098412501,1.07824688151221,0.0521892564968069,0.0146092764231724,0.00396407691941225,1.06581410364015e-14,2.42694753183059e-12,-1.30341165563882,0.690480801353266,0.19959656093166,2.39224360087221,1.01158679891463,0.163534189675849,0.227393157399839,0.131190650816672,0.161750402970591,0.107191015055019,-1.62393277764443,0.244798402518733,-0.0575323897773875,2.07521863656502,0.801496269940506,-0.982890533633215,1.1361632001878,0.456725511640708,2.70926856517941,1.22167732788876,1.55431223447522e-15,0.00239336945393642,0.128153553641575,0,0,0.271953131399045,0.133635629268177,0.350743782784515,0.263818033350553,236,150,566,248,814
"8",8,-1.5018932038835,1.06519480519481,0.277560553633218,1.92114503816794,0.790202380952381,-0.698586595769951,0.274957964762286,0.455126900775883,1.51352510011032,0.84602770251214,0.220257647414118,0.332285896846405,0.133711875178009,0.180897823809791,0.109660741381104,-1.13028365202114,-0.376310425627258,0.19305644112167,1.15897188056146,0.631096598887215,-0.266889539518758,0.926226355151831,0.717197360430097,1.86807831965919,1.06095880613707,0.00151560335425927,0.407968410975552,0.000664582671973557,0,1.21014309684142e-14,-1.3875068228703,1.04496140649241,0.521803908723856,1.89185127057481,0.996774561630993,0.180395136815775,0.248753281452224,0.117908513524275,0.153149827722833,0.0987968602108197,-1.7410747940154,0.557413933809898,0.290707468745624,1.59168312399954,0.803136273832148,-1.03393885172521,1.53250887917493,0.752900348702088,2.19201941715007,1.19041284942984,1.45439216225896e-14,2.65979983665732e-05,9.62199804921404e-06,0,0,0.348425834713737,0.0243599968398027,0.37580663890248,0.428735919762511,206,154,578,262,840
"9",9,-0.792764227642276,0.616225165562914,0.13519298245614,1.86304721030043,0.636550435865504,0.111677530319497,0.703345523488554,0.291348505109102,0.883537581995427,0.480729529467593,0.202008012131353,0.33011493450841,0.126990707008321,0.200930577738185,0.108348618577612,-0.284250898046485,0.0563321410932718,0.0424512930015148,0.489720886235759,0.268370139280806,0.507605958685479,1.35035890588384,0.540245717216689,1.27735427775509,0.69308891965438,0.580374938826023,0.033121449174485,0.0217761086305828,1.09642105268204e-05,9.12732724489551e-06,-0.726995837882406,0.573232474483218,0.173428897635331,2.03769888830023,0.769273059300627,0.167987980446939,0.247759571719364,0.112670632824404,0.167245551508264,0.097749550482296,-1.05624622939402,0.0876326370881965,-0.0474014848158372,1.7099036307695,0.577687460850347,-0.397745446370788,1.05883231187824,0.394259280086498,2.36549414583097,0.960858657750907,1.50697896981189e-05,0.0206861439640535,0.123741919331954,0,3.5527136788005e-15,0.160229755152128,0.17779186536178,0.554948047754747,0.177003526153758,246,151,570,233,803
"10",10,-1.63326446280992,0.699314285714286,0.284822695035461,2.16625570776256,0.811047254150702,-1.28216703757286,0.244591846162368,0.285809008891291,1.79331697113653,0.833993008215282,0.195115462475119,0.309606462860084,0.15585741461208,0.198268179124229,0.125583825315346,-1.66458631685097,-0.362225670424233,-0.0196659104719127,1.4047184807727,0.587853233556434,-0.899747758294747,0.85140936274897,0.591283928254494,2.18191546150035,1.08013278287413,4.98696639539276e-11,0.429522598962271,0.0666858963055529,0,3.11717318624005e-11,-1.64361426978155,0.584118159171646,0.434965170973689,2.11321155692283,1.0429929391451,0.163204200657389,0.235789538610016,0.134660354112076,0.165361048238807,0.111501374130626,-1.96348862519568,0.121979155564699,0.17103572676861,1.78910985792897,0.824454261622348,-1.32373991436742,1.04625716277859,0.698894615178769,2.43731325591668,1.26153161666785,0,0.0132385714767418,0.00123750909448561,0,0,0.463564566159945,0.00140839831465756,0.205160465631357,0.417075565400387,242,175,564,219,783
