"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","trued_AC_sp","trued_AC_sp_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,-1.81953216374269,-1.69088888888889,0.65743288590604,0.577090909090909,2.6186690647482,2.44334161619299,1.2812585812357,1.13801785517816,2.78017779141831,0.718679515222119,1.80929064993591,3.55047771174556,3.03442628139277,0.666146401675632,2.17005576169113,3.72654880204509,0.613311643307624,0.478121583799661,0.110353598402689,1.17940744590794,0.561996156174088,0.348933232454867,0.169655740578567,1.04932687192309,-2.19303261064608,0.596687491856283,-2.8996452615921,-1.41337535973757,-2.04427308484017,0.555554015068161,-2.67216108439621,-1.43571512017412,1.06035595666011,0.484462842178292,0.566183103104892,1.6118128026419,1.27285790216236,0.3828571719773,0.883939318546007,1.68255950230605,0.68138789190459,0.74642728317333,0.69418051627938
"2",2,-1.95486111111111,-1.50300699300699,0.73644513137558,0.511046745053054,2.48523636363636,2.26592715231788,1.25804772234273,0.970493617982605,2.1615926095881,0.39482282547072,1.61856694752983,2.62309171368826,2.15774802093053,0.521693365181215,1.46031491139865,2.79084754131485,0.671141848993251,0.299380164670815,0.271399762814287,0.978496643744063,0.84434565051302,0.220244911333628,0.607880684723399,1.12628863870306,-1.30352783484966,0.808085675004941,-1.94460668288639,-0.0803370525070826,-1.39421796685516,0.769600264458309,-2.14426334182783,-0.336692420515768,0.929182823371664,0.276398244764015,0.55648157592656,1.20926615518961,1.21834379673126,0.1945829557882,1.00802700698123,1.44827565717196,0.654357944168946,0.813816712912509,0.560997751068319
"3",3,-1.78929824561404,-2.64172916666667,0.805109983079526,0.544677485855648,2.67594684385382,2.84591165413534,1.43641255605381,1.41526712332214,2.65619002642658,0.425201694873371,2.22609779811243,3.10710856152532,2.68536487130527,0.395001618698345,2.35320273562892,3.13648130668526,0.266030664294541,0.393453542840456,-0.0916594756777536,0.785840171950862,0.344735918591248,0.371109959615629,0.035499970449676,0.896230824035308,-2.05848613065299,0.532310130641428,-2.85128255599755,-1.5544686609197,-2.16127005496002,0.475468491205675,-2.8484836096663,-1.79162596570073,0.945734609815579,0.384391850129384,0.524208637551868,1.49242143772359,1.14113333390559,0.396879434200745,0.789976323584006,1.71171439417109,0.772958676645916,0.728946069107544,0.719662999163707
"4",4,-2.37011627906977,-2.22154563894523,0.768327702702703,0.677668918918919,2.99950704225352,3.22743239890846,1.49167808219178,1.49179748221128,3.61239437886909,0.683659911289426,2.85015704491943,4.50172928594334,3.58771962487491,0.67343955038944,2.94657588186566,4.50384862998355,1.31351371672787,0.329930482721005,0.833948955510322,1.65550035547384,1.26638974795054,0.310985495829659,0.812907214740212,1.5170887375659,-1.79951484049374,0.818699571250882,-3.04530565836854,-1.13872472982336,-1.87139210865183,0.771745751770661,-3.04965339935449,-1.34818092902385,1.76459941433291,0.164687203617639,1.59497178153021,1.9619543662617,1.88751877521844,0.137906673491534,1.79460098717614,2.10155436028656,0.654845345323746,0.733587888633149,0.687770908207926
"5",5,-1.29186335403727,-1.86344361602982,0.71822445561139,0.766266499057197,2.28931506849315,1.84717908975624,1.23426321709786,1.13695571171098,1.61933051455051,0.745509528451209,1.17204346099444,2.79072631486687,1.57928921603893,0.658098373538313,1.0968439697088,2.58066706056655,0.784130625458893,0.386707167500034,0.487186843510067,1.21919677500937,0.752418777950457,0.23391302209454,0.526092665326255,1.09605092973181,-1.72296468786385,0.552604442685083,-2.23038855029917,-0.986196971082439,-1.75409114127112,0.771424742771235,-2.47906860719883,-0.71112183335398,0.85727247996375,0.294658979217289,0.528890364303701,1.12617917407785,1.00748000812962,0.224402537653506,0.788666572866636,1.30054194839092,0.707978304840337,0.74917874157725,0.700009251594257
"6",6,-1.35855072463768,-1.25297478991597,0.450095087163233,0.497365247155945,2.67314487632509,2.54886640491292,1.13841356673961,1.21085431779549,2.34741722529943,0.996476293957526,0.961271353857647,3.39070999341231,2.15999446853063,0.682456599665626,1.20251647484178,2.83677029620249,0.792025382958904,0.497942867866195,0.116300179255359,1.18619704108153,0.705844736651992,0.382534289055949,0.140844052261737,1.05545000824485,-1.27901620406095,1.17407496547964,-2.86723944394678,-0.377438722804451,-1.0950081045478,1.19464741141597,-2.787774489032,0.213584558024717,1.17349147112361,0.62116091490516,0.498230051122332,1.73936324082734,1.17697036232622,0.393803448174854,0.714179219630642,1.6309891387885,0.757697342948072,0.762681125487248,0.637971623231498
"7",7,-1.52062111801242,-1.67721055881445,0.518658940397351,0.604405263157895,3.04756756756757,3.25794429223744,1.35038888888889,1.46644444444444,2.63669272935902,0.559316354148902,1.82211926928381,3.20340827816128,2.57253638359883,0.844704658173717,1.28209081754791,3.27455626959772,0.23881353712056,0.509825723298796,-0.540809878519634,0.659199629403274,0.465028668653378,0.332011603017249,0.0378432270952634,0.828654224688682,-1.55648156427262,0.69768973395451,-2.31939903575625,-0.755095760994578,-1.41923652621704,0.770266222244756,-2.41689953268687,-0.509737755538361,0.899029925324421,0.370851848322885,0.382617838375149,1.180730435355,1.1337752492585,0.343777539587921,0.642800928315745,1.43479710407011,0.710556789424033,0.742910258503592,0.707857966697681
"8",8,-1.82104294478528,-1.8370931283906,0.633491803278688,0.838425835313854,2.64098976109215,2.52264014550881,1.28487264673311,1.35725680647535,2.6582020297726,0.755258578770246,1.74654048269693,3.39763590175139,2.80190754145626,0.809243716472249,1.74199995003371,3.66369128094565,0.846769428298669,0.673317829353475,0.0045481658689415,1.60622637258688,0.755381442043174,0.615807565178249,-0.0212403904501499,1.42821634217737,-1.59231076000248,0.989483106400986,-2.70587940109413,-0.570539876890497,-1.75980520291882,0.986822796159476,-2.84649906297757,-0.581863979581734,1.26960197299059,0.570560166088267,0.549587539581979,1.94435377542689,1.28563016545368,0.611784430504199,0.491611858190449,1.89374167637773,0.639218408435496,0.771714174135588,0.672903080789464
"9",9,-2.33719512195122,-2.12895238095238,0.735208012326656,0.82661918328585,2.74838461538462,2.56657664060649,1.31103410341034,1.30773071895425,3.07249785057456,0.721813299992812,2.07293429215258,3.65049119815476,3.3532368542932,1.03957855989355,1.8897642849768,4.37223018966666,0.553718533528951,0.290215109946876,0.292063907128923,0.955577541948258,0.610167914016612,0.255176348136139,0.367826447018003,0.980338878645581,-2.05339901183136,0.677975099760295,-3.06720039481621,-1.44965902456425,-2.04829261389617,0.932828480708244,-3.47090382732607,-1.27164606501977,1.05249803847496,0.338682285988554,0.701931788255085,1.46354016983312,1.32319158369504,0.369005623942212,0.87301864984751,1.71151816858659,0.652411065796321,0.790946362115038,0.596859502270088
"10",10,-2.13077419354839,-2.23092883394587,0.740947712418301,0.481372549019608,2.40333333333333,2.67264892386022,1.28039735099338,1.20150054823226,2.9457216382597,0.820590238946271,2.04518580939781,4.10721791721557,3.05369426128706,0.849926296641672,1.97770468764638,4.15279085387205,0.810634493317007,0.261822300669854,0.558569896359191,1.16605093651536,0.808393142646011,0.39495805390818,0.382986392512635,1.35693087179014,-2.46663143399576,0.471785778835001,-2.79926703474983,-1.73706742515501,-2.31266537556127,0.646455397498627,-2.84805810967846,-1.33772729507271,1.29095398440661,0.314976946889066,0.921313967715425,1.66334905050083,1.48970112189222,0.362339387722585,1.00749215276255,1.82601648450902,0.723798231164319,0.737024872057221,0.673282674874863
